source,density
Leaflitter,0.678212034
Leaflitter,0.9765251
Leaflitter,0.741366197
Leaflitter,0.681056154
Leaflitter,0.790974687
Leaflitter,0.701629409
Leaflitter,0.801952695
Leaflitter,0.809739342
Leaflitter,0.415000194
Leaflitter,0.543162286
Leaflitter,0.612368431
Leaflitter,0.819790521
Leaflitter,0.828260281
Leaflitter,0.992090675
Leaflitter,0.8308198
Leaflitter,0.834236186
Leaflitter,0.808836569
Leaflitter,0.902130487
Leaflitter,0.59917968
Leaflitter,0.903197563
Leaflitter,0.787314709
Leaflitter,0.862960302
Leaflitter,0.240974667
Leaflitter,0.294151369
Leaflitter,0.551418092
Leaflitter,0.519780743
Leaflitter,0.662053001
Leaflitter,0.910093272
Leaflitter,0.584978046
Leaflitter,0.588219926
Leaflitter,0.947366712
Leaflitter,0.72623972
Leaflitter,0.814533567
Leaflitter,0.936307965
Leaflitter,0.948881149
Leaflitter,0.874414363
Leaflitter,0.746033204
Leaflitter,0.703670413
Leaflitter,0.820609513
Leaflitter,0.965986471
Leaflitter,0.764443119
Leaflitter,0.692125152
Leaflitter,0.897133031
Leaflitter,0.864436477
Leaflitter,0.983760174
Leaflitter,0.826247254
Leaflitter,0.787624436
Leaflitter,0.742550396
Leaflitter,0.713297862
Leaflitter,0.75672538
Leaflitter,0.766839973
Leaflitter,0.646372306
Leaflitter,0.844043422
Leaflitter,0.574934575
Leaflitter,0.829184071
Leaflitter,0.310313177
Leaflitter,0.742611821
Leaflitter,0.787447218
Leaflitter,0.79853357
Leaflitter,0.887754086
Leaflitter,0.83414514
Leaflitter,0.916664167
Leaflitter,0.962251723
Leaflitter,0.941124561
Leaflitter,0.937333862
Leaflitter,0.858531284
Leaflitter,0.850027148
Leaflitter,0.671005262
Leaflitter,0.628444159
Leaflitter,0.759917297
Leaflitter,0.929364206
Leaflitter,0.625176272
Leaflitter,0.691647775
Leaflitter,0.983664777
Leaflitter,0.150401111
Leaflitter,0.548697465
Leaflitter,0.925463892
Leaflitter,0.563852275
Leaflitter,0.830716568
Leaflitter,0.729388913
Leaflitter,0.91151267
Leaflitter,0.948867115
Leaflitter,0.87501806
Leaflitter,0.780257556
Leaflitter,0.812155447
Leaflitter,0.726771431
Leaflitter,0.741355547
Leaflitter,0.750233113
Leaflitter,0.855960377
Leaflitter,0.822739604
Leaflitter,0.868793756
Leaflitter,0.488188906
Leaflitter,0.905548706
Leaflitter,0.585587335
Leaflitter,0.726771748
Leaflitter,0.890322947
Leaflitter,0.512257831
Leaflitter,0.984026235
Leaflitter,0.826799849
Leaflitter,0.732914296
Leaflitter,0.758296164
Leaflitter,0.53703871
Leaflitter,0.810320334
Leaflitter,0.941837517
Leaflitter,0.788292434
Leaflitter,0.922182033
Leaflitter,0.717294328
Leaflitter,0.892061289
Leaflitter,0.867296694
Leaflitter,0.887011094
Leaflitter,0.886924754
Leaflitter,0.906835045
Leaflitter,0.812581262
Leaflitter,0.820397649
Leaflitter,0.674605315
Leaflitter,0.812520179
Leaflitter,0.577085401
Leaflitter,0.948649321
