source,density
Leaflitter,0.85360791
Leaflitter,0.948040013
Leaflitter,0.907742336
Leaflitter,0.814276369
Leaflitter,0.902655721
Leaflitter,0.958934139
Leaflitter,0.958531187
Leaflitter,0.773320747
Leaflitter,0.980556544
Leaflitter,0.801212429
Leaflitter,0.900214036
Leaflitter,0.82829665
Leaflitter,0.861826627
Leaflitter,0.805089431
Leaflitter,0.90526778
Leaflitter,0.875321191
Leaflitter,0.811202901
Leaflitter,0.673635221
Leaflitter,0.829143059
Leaflitter,0.983464421
Leaflitter,0.864544848
Leaflitter,0.769786884
Leaflitter,0.799499733
Leaflitter,0.756890112
Leaflitter,0.789794091
Leaflitter,0.835246895
Leaflitter,0.951741168
Leaflitter,0.71349141
Leaflitter,0.963503052
Leaflitter,0.921319418
Leaflitter,0.933713236
Leaflitter,0.943073082
Leaflitter,0.931742992
Leaflitter,0.920299388
Leaflitter,0.947511546
Leaflitter,0.751755095
Leaflitter,0.820628613
Leaflitter,0.892991719
Leaflitter,0.932517902
Leaflitter,0.986815862
Leaflitter,0.902706569
Leaflitter,0.929901729
Leaflitter,0.902786944
Leaflitter,0.628883298
Leaflitter,0.801255267
Leaflitter,0.786907856
Leaflitter,0.939622751
Leaflitter,0.871586617
Leaflitter,0.892324207
Leaflitter,0.971249893
Leaflitter,0.783921562
Leaflitter,0.873401794
Leaflitter,0.782440093
Leaflitter,0.745285729
Leaflitter,0.702454177
Leaflitter,0.854517379
Leaflitter,0.975316616
Leaflitter,0.771821743
Leaflitter,0.86888913
Leaflitter,0.816515513
Leaflitter,0.937093954
Leaflitter,0.922635813
Leaflitter,0.849662286
Leaflitter,0.908825534
Leaflitter,0.885589389
Leaflitter,0.972985962
Leaflitter,0.917973841
Leaflitter,0.769100806
Leaflitter,0.962445265
Leaflitter,0.871235324
Leaflitter,0.926911324
Leaflitter,0.835206741
Leaflitter,0.805953044
Leaflitter,0.797008307
Leaflitter,0.923784153
Leaflitter,0.933516104
Leaflitter,0.868228631
Leaflitter,0.758196878
Leaflitter,0.775581942
Leaflitter,0.552245271
Leaflitter,0.95052585
Leaflitter,0.900681219
Leaflitter,0.897531449
Leaflitter,0.928831333
Leaflitter,0.929799509
Leaflitter,0.851731276
Leaflitter,0.685038644
Leaflitter,0.815464509
Leaflitter,0.738686069
Leaflitter,0.967275284
Leaflitter,0.88359897
Leaflitter,0.798993478
Leaflitter,0.755029829
Leaflitter,0.856617551
Leaflitter,0.677084501
Leaflitter,0.921594258
Leaflitter,0.487624985
Leaflitter,0.809001476
Leaflitter,0.94220209
Leaflitter,0.783569731
Leaflitter,0.822924309
Leaflitter,0.884061099
Leaflitter,0.976849065
Leaflitter,0.792761307
Leaflitter,0.893230894
