source,density
Leaflitter,0.407277196
Leaflitter,0.648771546
Leaflitter,0.573293679
Leaflitter,0.635475475
Leaflitter,0.739536232
Leaflitter,0.737742673
Leaflitter,0.345068472
Leaflitter,0.744040277
Leaflitter,0.401549469
Leaflitter,0.375587769
Leaflitter,0.656238516
Leaflitter,0.555711636
Leaflitter,0.539156154
Leaflitter,0.695249185
Leaflitter,0.605940934
Leaflitter,0.948797661
Leaflitter,0.898795074
Leaflitter,0.669530828
Leaflitter,0.825118906
Leaflitter,0.746011841
Leaflitter,0.746931133
Leaflitter,0.414829868
Leaflitter,0.637866636
Leaflitter,0.562107374
Leaflitter,0.89433862
Leaflitter,0.909226347
Leaflitter,0.60098808
Leaflitter,0.498248539
Leaflitter,0.715368907
Leaflitter,0.716275429
Leaflitter,0.093803715
Leaflitter,0.826440272
Leaflitter,0.416532338
Leaflitter,0.887836046
Leaflitter,0.191419817
Leaflitter,0.848628147
Leaflitter,0.468833083
Leaflitter,0.34219946
Leaflitter,0.740368057
Leaflitter,0.465774626
Leaflitter,0.127377881
Leaflitter,0.332409116
Leaflitter,0.697925578
Leaflitter,0.693892457
Leaflitter,0.579889099
Leaflitter,0.748418961
Leaflitter,0.670405711
Leaflitter,0.819948047
Leaflitter,0.770178343
Leaflitter,0.257184714
Leaflitter,0.674395724
Leaflitter,0.451335631
Leaflitter,0.309635681
Leaflitter,0.696039351
Leaflitter,0.656318586
Leaflitter,0.74454623
Leaflitter,0.697193872
Leaflitter,0.937997336
Leaflitter,0.197998458
Leaflitter,0.028320541
Leaflitter,0.675393132
Leaflitter,0.848865751
Leaflitter,0.805286009
Leaflitter,0.675139347
Leaflitter,0.766908449
Leaflitter,0.591455703
Leaflitter,0.400938701
Leaflitter,0.593821006
Leaflitter,0.456238281
Leaflitter,0.554472523
Leaflitter,0.863926759
Leaflitter,0.877680335
Leaflitter,0.186365441
Leaflitter,0.780300747
Leaflitter,0.566937576
Leaflitter,0.955665634
Leaflitter,0.553041244
Leaflitter,0.822115986
Leaflitter,0.832291606
Leaflitter,0.469146592
Leaflitter,0.766751593
Leaflitter,0.582893081
Leaflitter,0.368903965
