source,density
Leaflitter,0.808605273
Leaflitter,0.954760003
Leaflitter,0.636390663
Leaflitter,0.945108066
Leaflitter,0.891006713
Leaflitter,0.645710133
Leaflitter,0.562742395
Leaflitter,0.525559674
Leaflitter,0.895426733
Leaflitter,0.605804692
Leaflitter,0.595090038
Leaflitter,0.879530976
Leaflitter,0.570665894
Leaflitter,0.765214276
Leaflitter,0.906820248
Leaflitter,0.724486218
Leaflitter,0.492254521
Leaflitter,0.621813141
Leaflitter,0.821658788
Leaflitter,0.913303711
Leaflitter,0.684402818
Leaflitter,0.74997763
Leaflitter,0.811926122
Leaflitter,0.657412495
Leaflitter,0.602161281
Leaflitter,0.65857399
Leaflitter,0.860124829
Leaflitter,0.435668581
Leaflitter,0.956865047
Leaflitter,0.412176776
Leaflitter,0.762170944
Leaflitter,0.717193349
Leaflitter,0.909542234
Leaflitter,0.765053111
Leaflitter,0.786354515
Leaflitter,0.400699785
Leaflitter,0.774388657
Leaflitter,0.709874293
Leaflitter,0.799133289
Leaflitter,0.739335804
Leaflitter,0.902733911
Leaflitter,0.931069079
Leaflitter,0.681091894
Leaflitter,0.704182878
Leaflitter,0.962011877
Leaflitter,0.78639251
Leaflitter,0.89775684
Leaflitter,0.668556749
Leaflitter,0.877458657
Leaflitter,0.578463911
Leaflitter,0.506942628
Leaflitter,0.847176856
Leaflitter,0.566593087
Leaflitter,0.892465226
Leaflitter,0.616714497
Leaflitter,0.501989423
Leaflitter,0.582050274
Leaflitter,0.714191264
Leaflitter,0.868920202
Leaflitter,0.66401028
Leaflitter,0.835000338
Leaflitter,0.940991043
Leaflitter,0.768193588
Leaflitter,0.476190479
Leaflitter,0.705248502
Leaflitter,0.890062892
Leaflitter,0.716690475
Leaflitter,0.78274616
Leaflitter,0.89142205
Leaflitter,0.884101659
Leaflitter,0.923934264
Leaflitter,0.655011685
Leaflitter,0.906347625
Leaflitter,0.82113555
Leaflitter,0.468828253
Leaflitter,0.633824342
Leaflitter,0.814892825
Leaflitter,0.9028707
Leaflitter,0.668854531
Leaflitter,0.682204002
Leaflitter,0.541337755
Leaflitter,0.983509229
Leaflitter,0.755180069
Leaflitter,0.883224085
Leaflitter,0.77753015
Leaflitter,0.669474704
Leaflitter,0.906266424
Leaflitter,0.696584331
Leaflitter,0.903709226
Leaflitter,0.923019966
Leaflitter,0.955348401
Leaflitter,0.381469794
Leaflitter,0.89433519
Leaflitter,0.801516796
Leaflitter,0.943484775
Leaflitter,0.631087757
Leaflitter,0.650995454
Leaflitter,0.84601506
Leaflitter,0.929059545
Leaflitter,0.437142172
Leaflitter,0.697013576
Leaflitter,0.958200327
Leaflitter,0.847131305
Leaflitter,0.833740309
Leaflitter,0.629860409
Leaflitter,0.325011344
Leaflitter,0.828112656
Leaflitter,0.668933763
Leaflitter,0.656789824
Leaflitter,0.68561668
Leaflitter,0.437788813
Leaflitter,0.867042084
Leaflitter,0.580341158
Leaflitter,0.804095604
Leaflitter,0.900164584
Leaflitter,0.795590186
Leaflitter,0.447770011
Leaflitter,0.584833934
Leaflitter,0.371785234
Leaflitter,0.810196818
Leaflitter,0.737722961
Leaflitter,0.698601308
Leaflitter,0.918042876
Leaflitter,0.859709724
Leaflitter,0.823258453
Leaflitter,0.944605202
Leaflitter,0.794712008
Leaflitter,0.797921216
Leaflitter,0.652532159
Leaflitter,0.791270583
Leaflitter,0.970984246
Leaflitter,0.902048745
Leaflitter,0.405859249
Leaflitter,0.691566363
Leaflitter,0.871352578
Leaflitter,0.590130872
Leaflitter,0.84003166
Leaflitter,0.786036752
Leaflitter,0.78399715
Leaflitter,0.920961069
Leaflitter,0.799172872
Leaflitter,0.697294114
Leaflitter,0.238133961
Leaflitter,0.907830545
Leaflitter,0.898625395
Leaflitter,0.757383034
Leaflitter,0.908996678
Leaflitter,0.616550199
Leaflitter,0.894547603
Leaflitter,0.699011668
Leaflitter,0.770251131
Leaflitter,0.989232399
Leaflitter,0.917692552
Leaflitter,0.824162147
Leaflitter,0.468256983
Leaflitter,0.9426661
Leaflitter,0.360090577
Leaflitter,0.785502268
Leaflitter,0.890442889
Leaflitter,0.564115259
Leaflitter,0.708715044
Leaflitter,0.956833581
Leaflitter,0.759631779
Leaflitter,0.590113535
Leaflitter,0.698073022
Leaflitter,0.793673524
Leaflitter,0.402480235
Leaflitter,0.985965123
Leaflitter,0.465887917
Leaflitter,0.320933239
Leaflitter,0.877690954
Leaflitter,0.568315153
Leaflitter,0.589186203
Leaflitter,0.654692545
Leaflitter,0.866535308
Leaflitter,0.534393715
Leaflitter,0.869143606
Leaflitter,0.285340335
Leaflitter,0.610396128
Leaflitter,0.427034434
Leaflitter,0.86259849
Leaflitter,0.845005367
Leaflitter,0.774034227
Leaflitter,0.69387205
Leaflitter,0.895673447
Leaflitter,0.830748209
Leaflitter,0.535223712
Leaflitter,0.729171448
Leaflitter,0.917723328
Leaflitter,0.139241409
Leaflitter,0.654025945
Leaflitter,0.861130728
Leaflitter,0.550947182
Leaflitter,0.536435644
Leaflitter,0.924310778
Leaflitter,0.70357731
Leaflitter,0.480422283
Leaflitter,0.614759145
Leaflitter,0.884073018
Leaflitter,0.845610038
Leaflitter,0.778372507
Leaflitter,0.430187557
Leaflitter,0.701433778
Leaflitter,0.73381889
Leaflitter,0.928513639
Leaflitter,0.796250283
Leaflitter,0.687405622
Leaflitter,0.788156407
Leaflitter,0.729608608
Leaflitter,0.896524876
Leaflitter,0.868032705
Leaflitter,0.818292649
Leaflitter,0.791489265
Leaflitter,0.887581513
Leaflitter,0.567844696
Leaflitter,0.929994203
Leaflitter,0.818522188
Leaflitter,0.528776372
Leaflitter,0.7845302
Leaflitter,0.894799451
Leaflitter,0.673406271
Leaflitter,0.492953506
Leaflitter,0.844946533
Leaflitter,0.533282718
Leaflitter,0.718685506
Leaflitter,0.886047337
Leaflitter,0.735758341
Leaflitter,0.869647945
Leaflitter,0.297815069
Leaflitter,0.830625453
Leaflitter,0.774942501
Leaflitter,0.476320971
Leaflitter,0.823277348
Leaflitter,0.726656947
Leaflitter,0.800117096
Leaflitter,0.792216299
Leaflitter,0.735126909
Leaflitter,0.91644175
Leaflitter,0.838708693
Leaflitter,0.577626985
Leaflitter,0.698331106
Leaflitter,0.482955383
Leaflitter,0.669724901
Leaflitter,0.640400769
Leaflitter,0.734733012
Leaflitter,0.942449537
Leaflitter,0.756168835
Leaflitter,0.732026184
Leaflitter,0.597431094
Leaflitter,0.569804672
Leaflitter,0.470085254
Leaflitter,0.773043034
Leaflitter,0.89257134
Leaflitter,0.690433448
Leaflitter,0.897245636
Leaflitter,0.845977178
Leaflitter,0.709030035
Leaflitter,0.847890562
Leaflitter,0.574833958
Leaflitter,0.83828871
Leaflitter,0.599963293
Leaflitter,0.509316035
Leaflitter,0.987532936
Leaflitter,0.780890578
Leaflitter,0.624316177
Leaflitter,0.717404555
Leaflitter,0.597075525
Leaflitter,0.719863215
Leaflitter,0.329819884
Leaflitter,0.928812241
Leaflitter,0.814063695
Leaflitter,0.846010899
Leaflitter,0.94167688
Leaflitter,0.838782009
Leaflitter,0.896458768
Leaflitter,0.570068268
Leaflitter,0.487101192
Leaflitter,0.749591313
Leaflitter,0.680162991
Leaflitter,0.697384466
Leaflitter,0.807609377
Leaflitter,0.826384367
Leaflitter,0.532022101
Leaflitter,0.855138882
Leaflitter,0.706509177
Leaflitter,0.400251653
Leaflitter,0.74776668
Leaflitter,0.789528239
Leaflitter,0.861727984
Leaflitter,0.758634032
Leaflitter,0.41221853
Leaflitter,0.886978512
Leaflitter,0.383583274
Leaflitter,0.866883258
Leaflitter,0.546156671
Leaflitter,0.704293955
Leaflitter,0.660115784
Leaflitter,0.40562222
Leaflitter,0.683493538
Leaflitter,0.59189466
Leaflitter,0.932397673
Leaflitter,0.64966532
Leaflitter,0.871752856
Leaflitter,0.726458045
Leaflitter,0.74173872
Leaflitter,0.47277038
Leaflitter,0.544868739
Leaflitter,0.866851714
Leaflitter,0.356623113
Leaflitter,0.814151015
Leaflitter,0.76679957
Leaflitter,0.550346032
Leaflitter,0.534501019
Leaflitter,0.503655584
Leaflitter,0.703929961
Leaflitter,0.94716583
Leaflitter,0.903004329
Leaflitter,0.841311465
Leaflitter,0.588193812
Leaflitter,0.853445291
Leaflitter,0.771039499
Leaflitter,0.633961818
Leaflitter,0.59522453
Leaflitter,0.501218015
Leaflitter,0.528552373
Leaflitter,0.657944211
Leaflitter,0.955953212
Leaflitter,0.45036722
Leaflitter,0.38911526
Leaflitter,0.867371342
Leaflitter,0.956299766
Leaflitter,0.94100253
Leaflitter,0.606145276
Leaflitter,0.807178625
Leaflitter,0.773089632
Leaflitter,0.87637973
Leaflitter,0.605844552
Leaflitter,0.609544701
Leaflitter,0.801001109
Leaflitter,0.939006998
Leaflitter,0.799095393
Leaflitter,0.981924866
Leaflitter,0.627391182
Leaflitter,0.706255003
Leaflitter,0.980678513
Leaflitter,0.808519593
Leaflitter,0.787617032
Leaflitter,0.258630427
Leaflitter,0.910142135
Leaflitter,0.404593695
Leaflitter,0.853696347
Leaflitter,0.681698045
Leaflitter,0.651007722
Leaflitter,0.732778592
Leaflitter,0.647997452
Leaflitter,0.541656584
Leaflitter,0.715976557
Leaflitter,0.909213987
Leaflitter,0.777201163
Leaflitter,0.4712302
Leaflitter,0.932202718
Leaflitter,0.737633125
Leaflitter,0.534424483
Leaflitter,0.899117644
Leaflitter,0.627736451
Leaflitter,0.369449597
Leaflitter,0.921949095
Leaflitter,0.660327612
Leaflitter,0.746071983
Leaflitter,0.713122253
Leaflitter,0.73681993
Leaflitter,0.593346092
Leaflitter,0.454363941
Leaflitter,0.603773778
Leaflitter,0.911091244
Leaflitter,0.803597735
Leaflitter,0.594505579
Leaflitter,0.9032625
Leaflitter,0.649841386
Leaflitter,0.99040333
Leaflitter,0.657482287
Leaflitter,0.788776305
Leaflitter,0.487716645
Leaflitter,0.536616375
Leaflitter,0.703259266
Leaflitter,0.926395109
Leaflitter,0.607704855
Leaflitter,0.883127445
Leaflitter,0.848686039
Leaflitter,0.590490706
Leaflitter,0.864230202
Leaflitter,0.840573577
Leaflitter,0.788892009
Leaflitter,0.18145542
Leaflitter,0.791201966
Leaflitter,0.747016048
Leaflitter,0.578565522
Leaflitter,0.450199201
Leaflitter,0.536875918
Leaflitter,0.670471525
Leaflitter,0.699631275
Leaflitter,0.759665965
Leaflitter,0.808144734
Leaflitter,0.777115545
Leaflitter,0.621272687
Leaflitter,0.964818018
Leaflitter,0.311889359
Leaflitter,0.77901999
Leaflitter,0.567381213
Leaflitter,0.763660295
Leaflitter,0.892432487
Leaflitter,0.622490952
Leaflitter,0.879499269
Leaflitter,0.275478952
Leaflitter,0.856617666
Leaflitter,0.70248518
Leaflitter,0.884023743
Leaflitter,0.783289569
Leaflitter,0.934603234
Leaflitter,0.937330154
Leaflitter,0.505594518
Leaflitter,0.794500498
Leaflitter,0.640757491
Leaflitter,0.589618585
Leaflitter,0.687308621
Leaflitter,0.561728769
Leaflitter,0.763046908
Leaflitter,0.725932265
Leaflitter,0.48426958
Leaflitter,0.519320889
Leaflitter,0.820931591
Leaflitter,0.556794919
Leaflitter,0.823231641
Leaflitter,0.706710102
Leaflitter,0.730656756
Leaflitter,0.790681581
Leaflitter,0.749059415
Leaflitter,0.819632781
Leaflitter,0.530006183
Leaflitter,0.813456435
Leaflitter,0.807965528
Leaflitter,0.971101337
Leaflitter,0.55248535
Leaflitter,0.727582878
Leaflitter,0.656689499
Leaflitter,0.848826762
Leaflitter,0.583408693
Leaflitter,0.609943067
Leaflitter,0.752192349
Leaflitter,0.765515167
Leaflitter,0.82630761
Leaflitter,0.964512776
Leaflitter,0.769672388
Leaflitter,0.47346468
Leaflitter,0.834490686
Leaflitter,0.703702495
Leaflitter,0.764683017
Leaflitter,0.368900643
