source,density
Leaflitter,0.050403547
Leaflitter,0.067591663
Leaflitter,0.099694436
Leaflitter,0.03004365
Leaflitter,0.027345621
Leaflitter,0.056804386
Leaflitter,0.147335405
Leaflitter,0.130483977
Leaflitter,0.212754609
Leaflitter,0.07738984
Leaflitter,0.097359007
Leaflitter,0.149287054
Leaflitter,0.039407647
Leaflitter,0.088837192
Leaflitter,0.056788749
Leaflitter,0.043007309
Leaflitter,0.081764519
Leaflitter,0.021735251
Leaflitter,0.078180597
Leaflitter,0.04111968
Leaflitter,0.049785912
Leaflitter,0.099030853
Leaflitter,0.351531034
Leaflitter,0.086349344
Leaflitter,0.115573542
Leaflitter,0.067943555
Leaflitter,0.068441062
Leaflitter,0.055526054
Leaflitter,0.076267666
Leaflitter,0.001727041
Leaflitter,0.23451715
Leaflitter,0.058235414
Leaflitter,0.233684788
Leaflitter,0.130963342
Leaflitter,0.012733856
Leaflitter,0.103187961
Leaflitter,0.016986614
Leaflitter,0.194971146
Leaflitter,0.079758297
Leaflitter,0.032645665
Leaflitter,0.13257162
Leaflitter,0.217532531
Leaflitter,0.266999718
Leaflitter,0.032034183
Leaflitter,0.173371743
Leaflitter,0.302451458
Leaflitter,0.027331752
Leaflitter,0.002555693
Leaflitter,0.098464646
Leaflitter,0.001312038
Leaflitter,0.060536901
Leaflitter,0.055385342
Leaflitter,0.005942542
Leaflitter,0.082993456
Leaflitter,0.030127079
Leaflitter,0.039111805
Leaflitter,0.070846762
Leaflitter,0.027900916
Leaflitter,0.068428015
Leaflitter,0.281275964
Leaflitter,0.115446922
Leaflitter,0.097454036
Leaflitter,0.043266778
Leaflitter,0.354015009
Leaflitter,0.17514388
Leaflitter,0.009026978
Leaflitter,0.000152015
Leaflitter,0.071161409
Leaflitter,0.00080781
Leaflitter,0.094598841
Leaflitter,0.09792316
Leaflitter,0.015221113
Leaflitter,0.32006788
Leaflitter,0.010640956
Leaflitter,0.030258395
Leaflitter,0.116652101
Leaflitter,0.201708393
Leaflitter,0.072954621
Leaflitter,0.274794439
Leaflitter,0.161582969
Leaflitter,0.111951131
Leaflitter,0.040672381
Leaflitter,0.093265383
Leaflitter,0.059824766
Leaflitter,0.070986053
Leaflitter,0.404761071
Leaflitter,0.055901393
Leaflitter,0.030433298
