source,density
Leaflitter,0.5943191
Leaflitter,0.8740814
Leaflitter,0.77005243
Leaflitter,0.843098501
Leaflitter,0.753447217
Leaflitter,0.848309935
Leaflitter,0.935662242
Leaflitter,0.740409509
Leaflitter,0.889488207
Leaflitter,0.594689836
Leaflitter,0.444353616
Leaflitter,0.889768682
Leaflitter,0.755032184
Leaflitter,0.757591946
Leaflitter,0.905001246
Leaflitter,0.946355935
Leaflitter,0.890192065
Leaflitter,0.565743763
Leaflitter,0.686712848
Leaflitter,0.744266288
Leaflitter,0.804390378
Leaflitter,0.9425481
Leaflitter,0.719302033
Leaflitter,0.642596742
Leaflitter,0.684324383
Leaflitter,0.914577756
Leaflitter,0.893853119
Leaflitter,0.832101786
Leaflitter,0.879324575
Leaflitter,0.629535864
Leaflitter,0.871991101
Leaflitter,0.521219805
Leaflitter,0.842634384
Leaflitter,0.906520074
Leaflitter,0.963383776
Leaflitter,0.943110802
Leaflitter,0.928814601
Leaflitter,0.86396945
Leaflitter,0.692248926
Leaflitter,0.525273926
Leaflitter,0.792742638
Leaflitter,0.983532557
Leaflitter,0.895296452
Leaflitter,0.791709043
Leaflitter,0.730722739
Leaflitter,0.83401865
Leaflitter,0.860727606
Leaflitter,0.854591888
Leaflitter,0.560882658
Leaflitter,0.502662688
Leaflitter,0.958154338
Leaflitter,0.800529928
Leaflitter,0.890655672
Leaflitter,0.787717681
Leaflitter,0.863401905
Leaflitter,0.694160109
Leaflitter,0.896693242
Leaflitter,0.662083957
Leaflitter,0.767877287
Leaflitter,0.980860688
Leaflitter,0.910549534
Leaflitter,0.702859069
Leaflitter,0.738756108
Leaflitter,0.678842379
Leaflitter,0.788707972
Leaflitter,0.954554556
Leaflitter,0.54266215
Leaflitter,0.755159083
Leaflitter,0.957685704
Leaflitter,0.702543961
Leaflitter,0.552848932
Leaflitter,0.660914077
Leaflitter,0.879796188
Leaflitter,0.876329564
Leaflitter,0.760486792
Leaflitter,0.994529211
Leaflitter,0.925705447
Leaflitter,0.827242598
Leaflitter,0.880825067
Leaflitter,0.81788929
Leaflitter,0.919780951
Leaflitter,0.835159062
Leaflitter,0.831573314
Leaflitter,0.663674787
Leaflitter,0.838101042
Leaflitter,0.894245706
Leaflitter,0.766552849
Leaflitter,0.888207225
Leaflitter,0.786068319
Leaflitter,0.728535465
Leaflitter,0.520145074
Leaflitter,0.797250808
Leaflitter,0.683178556
Leaflitter,0.802449992
Leaflitter,0.775921745
Leaflitter,0.861520428
Leaflitter,0.864617508
Leaflitter,0.890665957
Leaflitter,0.673092943
Leaflitter,0.861963336
Leaflitter,0.97385048
Leaflitter,0.766925628
Leaflitter,0.787711798
Leaflitter,0.964739033
Leaflitter,0.908343114
Leaflitter,0.739152076
Leaflitter,0.927608297
Leaflitter,0.958639199
Leaflitter,0.765677485
Leaflitter,0.690710781
Leaflitter,0.644548003
Leaflitter,0.802817623
Leaflitter,0.773857311
Leaflitter,0.905114236
Leaflitter,0.964038309
Leaflitter,0.813519866
Leaflitter,0.575529725
Leaflitter,0.80333653
Leaflitter,0.839185779
Leaflitter,0.744870516
Leaflitter,0.859764388
Leaflitter,0.868373945
Leaflitter,0.732944006
Leaflitter,0.920861266
Leaflitter,0.826964213
Leaflitter,0.874615193
Leaflitter,0.870487433
Leaflitter,0.476862415
Leaflitter,0.855792429
Leaflitter,0.935806691
Leaflitter,0.613991494
Leaflitter,0.855168029
Leaflitter,0.919633821
Leaflitter,0.923964643
Leaflitter,0.598332763
Leaflitter,0.772395714
Leaflitter,0.796756771
Leaflitter,0.71583427
Leaflitter,0.688843457
Leaflitter,0.850434179
Leaflitter,0.929803488
Leaflitter,0.919854873
Leaflitter,0.962844957
Leaflitter,0.504951752
Leaflitter,0.884415839
Leaflitter,0.900685889
Leaflitter,0.806858956
Leaflitter,0.794139477
Leaflitter,0.794381423
Leaflitter,0.696143562
Leaflitter,0.897316502
Leaflitter,0.856944589
Leaflitter,0.708373519
Leaflitter,0.924299477
Leaflitter,0.917302598
Leaflitter,0.795893391
Leaflitter,0.688580337
Leaflitter,0.796135225
Leaflitter,0.836754952
Leaflitter,0.836949762
Leaflitter,0.792078108
Leaflitter,0.867171231
Leaflitter,0.962050111
Leaflitter,0.600411978
Leaflitter,0.824933442
Leaflitter,0.814021915
Leaflitter,0.986458926
Leaflitter,0.937670063
Leaflitter,0.952941657
Leaflitter,0.921657431
