source,density
Leaflitter,0.124138817
Leaflitter,0.087340182
Leaflitter,0.019472789
Leaflitter,0.112196965
Leaflitter,0.038457846
Leaflitter,0.03375102
Leaflitter,0.018999857
Leaflitter,0.000866331
Leaflitter,0.040352307
Leaflitter,0.061873496
Leaflitter,0.054278045
Leaflitter,0.119797296
Leaflitter,0.092365818
Leaflitter,0.048544766
Leaflitter,0.04138477
Leaflitter,0.078031051
Leaflitter,0.129968075
Leaflitter,0.984783502
Leaflitter,0.05748189
Leaflitter,0.145941882
Leaflitter,0.05428896
Leaflitter,0.069753661
Leaflitter,0.17860257
Leaflitter,0.094737031
Leaflitter,0.004214404
Leaflitter,0.134216331
Leaflitter,0.686066451
Leaflitter,0.064102087
Leaflitter,0.672535738
Leaflitter,0.004896043
Leaflitter,0.01200974
Leaflitter,0.041562305
Leaflitter,0.004824396
Leaflitter,0.016620899
Leaflitter,0.228003478
Leaflitter,0.869317652
Leaflitter,0.595764989
Leaflitter,0.292787173
Leaflitter,0.216010765
Leaflitter,0.106045603
Leaflitter,0.066588821
Leaflitter,0.026854939
Leaflitter,0.101223038
Leaflitter,0.095946163
Leaflitter,0.079120114
Leaflitter,0.070341113
Leaflitter,0.246988987
Leaflitter,0.617881611
Leaflitter,0.027339287
Leaflitter,0.108506412
Leaflitter,0.21653979
Leaflitter,0.061710771
Leaflitter,0.046203869
Leaflitter,0.323752984
Leaflitter,0.235464302
Leaflitter,0.046339968
Leaflitter,0.082207839
Leaflitter,0.066288197
Leaflitter,0.035014418
Leaflitter,0.283297376
Leaflitter,0.138392513
Leaflitter,0.022583939
Leaflitter,0.035101747
Leaflitter,0.010473132
Leaflitter,0.137128842
Leaflitter,0.267308829
Leaflitter,0.028740843
Leaflitter,0.040505748
Leaflitter,0.072279784
Leaflitter,0.045361221
Leaflitter,0.12754211
Leaflitter,0.11124207
Leaflitter,0.043212484
Leaflitter,0.029780277
Leaflitter,0.166136645
Leaflitter,0.860925977
Leaflitter,0.083847589
Leaflitter,0.045290471
Leaflitter,0.006731028
Leaflitter,0.071170451
Leaflitter,0.243087053
Leaflitter,0.29526412
Leaflitter,0.005120436
Leaflitter,0.186291787
Leaflitter,0.035953016
Leaflitter,0.101504576
Leaflitter,0.044074914
Leaflitter,0.028756038
Leaflitter,0.190697331
Leaflitter,0.01381692
Leaflitter,0.227940691
Leaflitter,0.21437975
Leaflitter,0.07463526
Leaflitter,0.011897764
Leaflitter,0.148046354
Leaflitter,0.062290464
Leaflitter,0.037707521
Leaflitter,0.069903885
Leaflitter,0.030816521
Leaflitter,0.079074514
Leaflitter,0.129805928
Leaflitter,0.253224461
Leaflitter,0.055450115
Leaflitter,0.002601633
Leaflitter,0.064002707
Leaflitter,0.125626602
Leaflitter,0.207092931
Leaflitter,0.057716896
Leaflitter,0.100132523
Leaflitter,0.035071865
Leaflitter,0.872865899
Leaflitter,0.318364688
Leaflitter,0.280800655
