source,density
Leaflitter,0.937782976
Leaflitter,0.729774961
Leaflitter,0.827171961
Leaflitter,0.95741928
Leaflitter,0.753191284
Leaflitter,0.813288495
Leaflitter,0.961760899
Leaflitter,0.849340492
Leaflitter,0.959907788
Leaflitter,0.40674158
Leaflitter,0.959524288
Leaflitter,0.706175421
Leaflitter,0.793633151
Leaflitter,0.856232222
Leaflitter,0.946288349
Leaflitter,0.861139314
Leaflitter,0.740957906
Leaflitter,0.7751652
Leaflitter,0.540162884
Leaflitter,0.878018257
Leaflitter,0.78561593
Leaflitter,0.98921153
Leaflitter,0.809407627
Leaflitter,0.989936811
Leaflitter,0.750427831
Leaflitter,0.606550733
Leaflitter,0.831063842
Leaflitter,0.782647419
Leaflitter,0.85104889
Leaflitter,0.726656422
Leaflitter,0.502350275
Leaflitter,0.899605151
Leaflitter,0.944815301
Leaflitter,0.893780586
Leaflitter,0.706294598
Leaflitter,0.894044487
Leaflitter,0.717846448
Leaflitter,0.744529213
Leaflitter,0.830666256
Leaflitter,0.778925406
Leaflitter,0.675850486
Leaflitter,0.622584454
Leaflitter,0.94114269
Leaflitter,0.916616448
Leaflitter,0.90788552
Leaflitter,0.592276621
Leaflitter,0.89237623
Leaflitter,0.824408932
Leaflitter,0.943124987
Leaflitter,0.636736728
Leaflitter,0.874752118
Leaflitter,0.827142469
Leaflitter,0.778348555
Leaflitter,0.831743696
Leaflitter,0.8090599
Leaflitter,0.981051523
Leaflitter,0.897464277
Leaflitter,0.936828519
Leaflitter,0.977453769
Leaflitter,0.96478656
Leaflitter,0.530868643
Leaflitter,0.945346027
Leaflitter,0.959457263
Leaflitter,0.942068147
Leaflitter,0.911961759
Leaflitter,0.876940884
Leaflitter,0.946423475
Leaflitter,0.793666193
Leaflitter,0.847855121
Leaflitter,0.745119825
Leaflitter,0.792869823
Leaflitter,0.596726318
Leaflitter,0.966704098
Leaflitter,0.8753219
Leaflitter,0.808828438
Leaflitter,0.772318864
Leaflitter,0.64305205
Leaflitter,0.80334941
Leaflitter,0.962189337
Leaflitter,0.951666444
Leaflitter,0.76440131
Leaflitter,0.484272371
Leaflitter,0.85748022
Leaflitter,0.444533993
Leaflitter,0.785744576
Leaflitter,0.856909108
Leaflitter,0.575271868
Leaflitter,0.992764689
Leaflitter,0.915546439
Leaflitter,0.833739797
Leaflitter,0.909519885
Leaflitter,0.859502778
Leaflitter,0.922405842
Leaflitter,0.8205752
Leaflitter,0.919977132
Leaflitter,0.708487625
Leaflitter,0.833793988
Leaflitter,0.825212241
Leaflitter,0.866617943
Leaflitter,0.558492506
Leaflitter,0.88310434
Leaflitter,0.691435342
Leaflitter,0.806607562
Leaflitter,0.918927801
Leaflitter,0.871581621
Leaflitter,0.937464541
Leaflitter,0.823999718
Leaflitter,0.875214304
Leaflitter,0.926605863
Leaflitter,0.968062866
Leaflitter,0.590476823
Leaflitter,0.752887293
Leaflitter,0.860129948
Leaflitter,0.569484323
Leaflitter,0.853075312
Leaflitter,0.35612457
Leaflitter,0.973550205
Leaflitter,0.567540593
Leaflitter,0.865770553
Leaflitter,0.797736814
Leaflitter,0.824573023
Leaflitter,0.639400709
Leaflitter,0.846931178
Leaflitter,0.93077921
Leaflitter,0.893390805
Leaflitter,0.364522022
Leaflitter,0.405578487
Leaflitter,0.860421934
Leaflitter,0.788556872
Leaflitter,0.640662329
Leaflitter,0.861253792
Leaflitter,0.949105021
Leaflitter,0.657552293
Leaflitter,0.809111321
Leaflitter,0.864055258
Leaflitter,0.846245128
Leaflitter,0.940710456
Leaflitter,0.719816137
Leaflitter,0.864051042
Leaflitter,0.926063787
Leaflitter,0.925979446
Leaflitter,0.719419013
Leaflitter,0.818438669
Leaflitter,0.372880873
Leaflitter,0.964469543
Leaflitter,0.762313474
Leaflitter,0.867779593
Leaflitter,0.834724362
Leaflitter,0.761520246
Leaflitter,0.730798928
Leaflitter,0.866968509
Leaflitter,0.873739831
Leaflitter,0.7510596
Leaflitter,0.844207551
Leaflitter,0.984986006
Leaflitter,0.890812297
Leaflitter,0.77867433
Leaflitter,0.681863647
Leaflitter,0.753064199
Leaflitter,0.682890059
Leaflitter,0.655566982
Leaflitter,0.836184375
Leaflitter,0.920780889
Leaflitter,0.886752058
Leaflitter,0.63584309
Leaflitter,0.347668928
Leaflitter,0.929630002
Leaflitter,0.949768103
Leaflitter,0.761386426
Leaflitter,0.826858045
Leaflitter,0.727263718
Leaflitter,0.8571812
Leaflitter,0.821481336
Leaflitter,0.863295052
Leaflitter,0.500691334
Leaflitter,0.884714178
Leaflitter,0.947239416
Leaflitter,0.5793242
Leaflitter,0.961357548
Leaflitter,0.769512247
Leaflitter,0.803077522
Leaflitter,0.884536029
Leaflitter,0.854615669
Leaflitter,0.934047139
Leaflitter,0.681746502
Leaflitter,0.958863467
Leaflitter,0.749604621
Leaflitter,0.916119879
Leaflitter,0.938425908
Leaflitter,0.818391839
Leaflitter,0.794196134
Leaflitter,0.686425855
Leaflitter,0.970486295
Leaflitter,0.943309363
Leaflitter,0.904039711
Leaflitter,0.941630775
Leaflitter,0.857553707
Leaflitter,0.902121272
Leaflitter,0.913417087
Leaflitter,0.896065394
Leaflitter,0.952575734
Leaflitter,0.993081027
Leaflitter,0.934300781
Leaflitter,0.630602738
Leaflitter,0.960367769
Leaflitter,0.753420883
Leaflitter,0.824858509
Leaflitter,0.931386467
Leaflitter,0.905586725
Leaflitter,0.776080684
Leaflitter,0.814495385
Leaflitter,0.730669364
Leaflitter,0.612849676
Leaflitter,0.571891993
Leaflitter,0.842085334
Leaflitter,0.810989191
Leaflitter,0.840803678
Leaflitter,0.986128609
Leaflitter,0.476637881
Leaflitter,0.839286393
Leaflitter,0.896976046
Leaflitter,0.811320473
Leaflitter,0.917056393
Leaflitter,0.808432066
Leaflitter,0.695212258
Leaflitter,0.699869941
Leaflitter,0.919046518
Leaflitter,0.912786104
Leaflitter,0.731073321
Leaflitter,0.733568101
Leaflitter,0.769672217
Leaflitter,0.759656714
Leaflitter,0.826087152
Leaflitter,0.77787685
Leaflitter,0.77400597
Leaflitter,0.829201918
Leaflitter,0.934148546
Leaflitter,0.907608824
Leaflitter,0.929835142
Leaflitter,0.588167844
Leaflitter,0.77169419
Leaflitter,0.755358157
Leaflitter,0.749635181
Leaflitter,0.545176637
Leaflitter,0.858005292
Leaflitter,0.932196567
Leaflitter,0.909947195
Leaflitter,0.817751863
Leaflitter,0.904960488
Leaflitter,0.868719759
Leaflitter,0.771880109
Leaflitter,0.673341293
Leaflitter,0.86568886
Leaflitter,0.707609075
Leaflitter,0.725964396
Leaflitter,0.707321989
Leaflitter,0.615390354
Leaflitter,0.610879857
Leaflitter,0.843715757
Leaflitter,0.918634614
Leaflitter,0.769411078
Leaflitter,0.966945969
Leaflitter,0.667268139
Leaflitter,0.661117159
Leaflitter,0.720036871
Leaflitter,0.677350474
Leaflitter,0.668912157
Leaflitter,0.723469721
Leaflitter,0.868869282
Leaflitter,0.800414875
Leaflitter,0.803053451
Leaflitter,0.878640236
Leaflitter,0.767868482
Leaflitter,0.939966756
Leaflitter,0.874687811
