source,density
Leaflitter,0.905118297
Leaflitter,0.949841163
Leaflitter,0.694875289
Leaflitter,0.856041164
Leaflitter,0.955952768
Leaflitter,0.941356862
Leaflitter,0.732623407
Leaflitter,0.490639194
Leaflitter,0.873991819
Leaflitter,0.299023891
Leaflitter,0.929520984
Leaflitter,0.622660262
Leaflitter,0.821850956
Leaflitter,0.745465625
Leaflitter,0.912853635
Leaflitter,0.875950467
Leaflitter,0.755549427
Leaflitter,0.496019946
Leaflitter,0.939413566
Leaflitter,0.91982496
Leaflitter,0.785084556
Leaflitter,0.730186755
Leaflitter,0.814509549
Leaflitter,0.747739404
Leaflitter,0.662823214
Leaflitter,0.913503513
Leaflitter,0.885617135
Leaflitter,0.627696084
Leaflitter,0.889978728
Leaflitter,0.890851893
Leaflitter,0.661614484
Leaflitter,0.394443264
Leaflitter,0.767467322
Leaflitter,0.783522928
Leaflitter,0.878508653
Leaflitter,0.791708083
Leaflitter,0.765732764
Leaflitter,0.852230396
Leaflitter,0.695932554
Leaflitter,0.886496814
Leaflitter,0.797637986
Leaflitter,0.947417769
Leaflitter,0.893037719
Leaflitter,0.629883079
Leaflitter,0.873982222
Leaflitter,0.880873033
Leaflitter,0.913737647
Leaflitter,0.707196361
Leaflitter,0.873045746
Leaflitter,0.674522753
Leaflitter,0.561757319
Leaflitter,0.428219162
Leaflitter,0.332124716
Leaflitter,0.781378024
Leaflitter,0.85127799
Leaflitter,0.911915208
Leaflitter,0.726130799
Leaflitter,0.550685787
Leaflitter,0.790102065
Leaflitter,0.827386356
Leaflitter,0.902708429
Leaflitter,0.980613091
Leaflitter,0.940193084
Leaflitter,0.63416467
Leaflitter,0.921437908
Leaflitter,0.831090182
Leaflitter,0.813126359
Leaflitter,0.515177668
Leaflitter,0.956156353
Leaflitter,0.508413366
Leaflitter,0.902346659
Leaflitter,0.788393377
Leaflitter,0.831948546
Leaflitter,0.849154447
Leaflitter,0.674840458
Leaflitter,0.525983982
Leaflitter,0.630197609
Leaflitter,0.933565988
Leaflitter,0.78975922
Leaflitter,0.739521575
Leaflitter,0.834608726
Leaflitter,0.635579696
Leaflitter,0.874310869
Leaflitter,0.608173698
Leaflitter,0.783889064
Leaflitter,0.275161532
Leaflitter,0.694036189
Leaflitter,0.883672546
Leaflitter,0.896174896
Leaflitter,0.851528929
Leaflitter,0.589738225
Leaflitter,0.808336298
Leaflitter,0.606495707
Leaflitter,0.897737128
Leaflitter,0.800369572
Leaflitter,0.959799108
Leaflitter,0.934809346
Leaflitter,0.964931035
Leaflitter,0.912207128
Leaflitter,0.976411466
Leaflitter,0.692976675
Leaflitter,0.857365194
Leaflitter,0.705546948
Leaflitter,0.955965341
Leaflitter,0.841555432
Leaflitter,0.890593517
Leaflitter,0.643082412
Leaflitter,0.790690144
Leaflitter,0.9162844
Leaflitter,0.927066454
Leaflitter,0.837123255
Leaflitter,0.860517544
Leaflitter,0.926189686
Leaflitter,0.582318002
Leaflitter,0.834865416
Leaflitter,0.815193272
Leaflitter,0.426119577
Leaflitter,0.660146846
Leaflitter,0.917986941
Leaflitter,0.885423367
Leaflitter,0.6580038
Leaflitter,0.588341205
Leaflitter,0.882757214
Leaflitter,0.857682792
Leaflitter,0.757994414
Leaflitter,0.900048921
Leaflitter,0.938690359
Leaflitter,0.813587488
Leaflitter,0.895386546
Leaflitter,0.82640919
Leaflitter,0.731806085
Leaflitter,0.449233039
Leaflitter,0.761276387
Leaflitter,0.94220727
Leaflitter,0.611215983
Leaflitter,0.940382097
Leaflitter,0.546011947
Leaflitter,0.569236317
Leaflitter,0.873096709
Leaflitter,0.920946694
Leaflitter,0.708449067
Leaflitter,0.776302875
Leaflitter,0.356710345
Leaflitter,0.809397816
Leaflitter,0.746114779
Leaflitter,0.847221795
Leaflitter,0.660645419
Leaflitter,0.836273652
Leaflitter,0.710566446
Leaflitter,0.640374817
Leaflitter,0.748374975
