source,density
Leaflitter,0.944758387
Leaflitter,0.687779303
Leaflitter,0.894014115
Leaflitter,0.93882483
Leaflitter,0.745609931
Leaflitter,0.709678861
Leaflitter,0.872841979
Leaflitter,0.974207958
Leaflitter,0.836871275
Leaflitter,0.874215112
Leaflitter,0.720462217
Leaflitter,0.816364535
Leaflitter,0.877749158
Leaflitter,0.690040229
Leaflitter,0.808662553
Leaflitter,0.895047402
Leaflitter,0.515068872
Leaflitter,0.918666284
Leaflitter,0.834790258
Leaflitter,0.900128969
Leaflitter,0.888275549
Leaflitter,0.593746912
Leaflitter,0.774045892
Leaflitter,0.923807824
Leaflitter,0.889221999
Leaflitter,0.795823885
Leaflitter,0.636717783
Leaflitter,0.94332378
Leaflitter,0.750463331
Leaflitter,0.943885226
Leaflitter,0.839271729
Leaflitter,0.516417148
Leaflitter,0.684627959
Leaflitter,0.9145203
Leaflitter,0.829273621
Leaflitter,0.671828699
Leaflitter,0.850797032
Leaflitter,0.821052188
Leaflitter,0.791432093
Leaflitter,0.815296322
Leaflitter,0.897709802
Leaflitter,0.86071101
Leaflitter,0.91521063
Leaflitter,0.726492603
Leaflitter,0.933891242
Leaflitter,0.763140653
Leaflitter,0.463817346
Leaflitter,0.905160541
Leaflitter,0.94688609
Leaflitter,0.962740227
Leaflitter,0.953009048
Leaflitter,0.900581149
Leaflitter,0.889291272
Leaflitter,0.879813133
Leaflitter,0.824051255
Leaflitter,0.923358792
Leaflitter,0.952824821
Leaflitter,0.745459779
Leaflitter,0.610988358
Leaflitter,0.829935572
Leaflitter,0.646473117
Leaflitter,0.869842346
Leaflitter,0.896600743
Leaflitter,0.681669563
Leaflitter,0.87283698
Leaflitter,0.868942394
Leaflitter,0.749758049
Leaflitter,0.757474612
Leaflitter,0.810164602
Leaflitter,0.749020904
Leaflitter,0.864355801
Leaflitter,0.908873717
Leaflitter,0.896480976
Leaflitter,0.736036826
Leaflitter,0.946224993
Leaflitter,0.885403755
Leaflitter,0.64381749
Leaflitter,0.950777627
Leaflitter,0.878504158
Leaflitter,0.769305189
Leaflitter,0.82745346
Leaflitter,0.884168671
Leaflitter,0.930891857
Leaflitter,0.841689011
Leaflitter,0.874128217
Leaflitter,0.923019368
Leaflitter,0.652205317
Leaflitter,0.711065655
Leaflitter,0.835879599
Leaflitter,0.955393333
Leaflitter,0.93689546
Leaflitter,0.856533488
Leaflitter,0.624226638
Leaflitter,0.634465297
Leaflitter,0.896768259
Leaflitter,0.963308759
Leaflitter,0.696881326
Leaflitter,0.835760498
Leaflitter,0.811667095
Leaflitter,0.860911465
Leaflitter,0.962726937
Leaflitter,0.851527042
Leaflitter,0.654340648
Leaflitter,0.799652384
Leaflitter,0.890288782
Leaflitter,0.943257636
Leaflitter,0.909099052
Leaflitter,0.818199462
Leaflitter,0.960543638
Leaflitter,0.880910094
Leaflitter,0.98390036
Leaflitter,0.858042327
Leaflitter,0.840636272
Leaflitter,0.945398678
Leaflitter,0.799442474
Leaflitter,0.788487585
Leaflitter,0.804890394
Leaflitter,0.909278733
Leaflitter,0.753241796
Leaflitter,0.655236077
Leaflitter,0.910177471
Leaflitter,0.537013407
Leaflitter,0.807357726
Leaflitter,0.931284222
Leaflitter,0.539904672
Leaflitter,0.895699347
Leaflitter,0.60411676
Leaflitter,0.847397027
Leaflitter,0.921007752
Leaflitter,0.853738005
Leaflitter,0.81539027
Leaflitter,0.832594074
Leaflitter,0.805128466
Leaflitter,0.942154318
Leaflitter,0.775467133
Leaflitter,0.774009519
Leaflitter,0.9346414
Leaflitter,0.757229032
Leaflitter,0.874119371
Leaflitter,0.819285914
Leaflitter,0.860334478
Leaflitter,0.778229788
Leaflitter,0.914367051
Leaflitter,0.864270688
Leaflitter,0.904924049
Leaflitter,0.694142617
Leaflitter,0.931943936
Leaflitter,0.790833373
Leaflitter,0.862065779
Leaflitter,0.790758711
