source,density
Leaflitter,0.521790215
Leaflitter,0.201947156
Leaflitter,0.113400167
Leaflitter,0.423513517
Leaflitter,0.504284009
Leaflitter,0.137117048
Leaflitter,0.795737633
Leaflitter,0.76852942
Leaflitter,0.650802825
Leaflitter,0.582493385
Leaflitter,0.161641301
Leaflitter,0.737402932
Leaflitter,0.422781122
Leaflitter,0.963782836
Leaflitter,0.582322765
Leaflitter,0.850326891
Leaflitter,0.873309515
Leaflitter,0.124873031
Leaflitter,0.475990334
Leaflitter,0.300747598
Leaflitter,0.375727017
Leaflitter,0.595302685
Leaflitter,0.655468713
Leaflitter,0.30100539
Leaflitter,0.031680516
Leaflitter,0.505236136
Leaflitter,0.626701426
Leaflitter,0.37309147
Leaflitter,0.810358808
Leaflitter,0.152071168
Leaflitter,0.669369636
Leaflitter,0.227732881
Leaflitter,0.845839301
Leaflitter,0.12370119
Leaflitter,0.588416073
Leaflitter,0.858199503
Leaflitter,0.783788955
Leaflitter,0.67989957
Leaflitter,0.706591913
Leaflitter,0.937199892
Leaflitter,0.588259903
Leaflitter,0.290105394
Leaflitter,0.360760619
Leaflitter,0.070434991
Leaflitter,0.729370239
Leaflitter,0.383917267
Leaflitter,0.61984366
Leaflitter,0.35378521
Leaflitter,0.677800864
Leaflitter,0.384900688
Leaflitter,0.283225807
Leaflitter,0.743179466
Leaflitter,0.665714809
Leaflitter,0.89552621
Leaflitter,0.756881663
Leaflitter,0.719550202
Leaflitter,0.80531293
Leaflitter,0.40653931
Leaflitter,0.536325768
Leaflitter,0.180328935
Leaflitter,0.188429628
Leaflitter,0.917649886
Leaflitter,0.470118066
Leaflitter,0.025775634
Leaflitter,0.570613336
Leaflitter,0.78569355
Leaflitter,0.544816639
Leaflitter,0.807369617
Leaflitter,0.712369814
Leaflitter,0.68713484
Leaflitter,0.123940714
Leaflitter,0.689480307
Leaflitter,0.022921389
Leaflitter,0.722895624
Leaflitter,0.219827192
Leaflitter,0.516788921
Leaflitter,0.681557896
Leaflitter,0.683180698
Leaflitter,0.63310516
Leaflitter,0.361742978
Leaflitter,0.905918399
Leaflitter,0.169665966
Leaflitter,0.857588257
Leaflitter,0.056081937
Leaflitter,0.625027572
Leaflitter,0.794600945
Leaflitter,0.271827721
Leaflitter,0.822612041
