source,density
Leaflitter,0.807775375
Leaflitter,0.833595403
Leaflitter,0.584405724
Leaflitter,0.903998555
Leaflitter,0.833444026
Leaflitter,0.878826449
Leaflitter,0.917594804
Leaflitter,0.836928472
Leaflitter,0.867864073
Leaflitter,0.727599157
Leaflitter,0.9269591
Leaflitter,0.955915233
Leaflitter,0.865537214
Leaflitter,0.827066857
Leaflitter,0.952133498
Leaflitter,0.592044327
Leaflitter,0.924170798
Leaflitter,0.822525007
Leaflitter,0.616643277
Leaflitter,0.772268773
Leaflitter,0.851134459
Leaflitter,0.846198034
Leaflitter,0.902534938
Leaflitter,0.904068761
Leaflitter,0.74176226
Leaflitter,0.840533575
Leaflitter,0.726033057
Leaflitter,0.545277358
Leaflitter,0.669100095
Leaflitter,0.725191499
Leaflitter,0.901559001
Leaflitter,0.944305405
Leaflitter,0.889458157
Leaflitter,0.8155412
Leaflitter,0.725053436
Leaflitter,0.940146215
Leaflitter,0.975254886
Leaflitter,0.683089199
Leaflitter,0.750867574
Leaflitter,0.801407082
Leaflitter,0.899721407
Leaflitter,0.754148446
Leaflitter,0.760868376
Leaflitter,0.607936547
Leaflitter,0.946559567
Leaflitter,0.877808816
Leaflitter,0.885029331
Leaflitter,0.726865103
Leaflitter,0.865848533
Leaflitter,0.797817478
Leaflitter,0.75957907
Leaflitter,0.708684685
Leaflitter,0.722375329
Leaflitter,0.766394147
Leaflitter,0.777694386
Leaflitter,0.935072869
Leaflitter,0.609744543
Leaflitter,0.822999139
Leaflitter,0.921548611
Leaflitter,0.851896307
Leaflitter,0.584893129
Leaflitter,0.9493467
Leaflitter,0.582541664
Leaflitter,0.798320478
Leaflitter,0.833229386
Leaflitter,0.90023107
Leaflitter,0.771100428
Leaflitter,0.689407096
Leaflitter,0.491898916
Leaflitter,0.841563108
Leaflitter,0.988213677
Leaflitter,0.841251226
Leaflitter,0.576526882
Leaflitter,0.787300791
Leaflitter,0.947237081
Leaflitter,0.757563313
Leaflitter,0.845939965
Leaflitter,0.489679113
Leaflitter,0.865389604
Leaflitter,0.823023439
Leaflitter,0.615600177
Leaflitter,0.739255696
Leaflitter,0.903489074
Leaflitter,0.768318795
Leaflitter,0.483678545
Leaflitter,0.868448334
Leaflitter,0.848174961
Leaflitter,0.892417742
Leaflitter,0.97894135
Leaflitter,0.774511882
Leaflitter,0.944552429
Leaflitter,0.971457357
Leaflitter,0.63282332
Leaflitter,0.616581436
Leaflitter,0.971053553
Leaflitter,0.901240125
Leaflitter,0.87628658
Leaflitter,0.982956116
Leaflitter,0.893644067
Leaflitter,0.840062458
Leaflitter,0.929036813
Leaflitter,0.695785897
Leaflitter,0.757834713
Leaflitter,0.898233061
Leaflitter,0.712630147
Leaflitter,0.791298563
Leaflitter,0.851764171
Leaflitter,0.810032756
Leaflitter,0.722159435
Leaflitter,0.916363863
Leaflitter,0.659466606
Leaflitter,0.803615737
Leaflitter,0.974270952
Leaflitter,0.940227942
Leaflitter,0.702856881
Leaflitter,0.703744241
Leaflitter,0.517526546
Leaflitter,0.962663903
Leaflitter,0.860907219
Leaflitter,0.890715773
Leaflitter,0.91982951
Leaflitter,0.711197642
Leaflitter,0.666699498
Leaflitter,0.917400029
Leaflitter,0.926682136
Leaflitter,0.741301576
Leaflitter,0.630106538
Leaflitter,0.927303272
Leaflitter,0.888923753
Leaflitter,0.756798131
Leaflitter,0.713782539
Leaflitter,0.742735508
Leaflitter,0.832599251
Leaflitter,0.688436707
Leaflitter,0.806206591
Leaflitter,0.95258043
Leaflitter,0.77828558
Leaflitter,0.893289617
Leaflitter,0.774188744
Leaflitter,0.858120412
Leaflitter,0.892062084
Leaflitter,0.788092243
Leaflitter,0.620736558
Leaflitter,0.955306756
Leaflitter,0.961409498
Leaflitter,0.799097888
Leaflitter,0.708377091
Leaflitter,0.768304069
Leaflitter,0.789060531
Leaflitter,0.801497612
Leaflitter,0.906103948
Leaflitter,0.859997524
Leaflitter,0.810174963
Leaflitter,0.886429001
Leaflitter,0.821983963
Leaflitter,0.549419129
Leaflitter,0.883345279
Leaflitter,0.833620168
Leaflitter,0.686402948
Leaflitter,0.831843089
Leaflitter,0.767998622
Leaflitter,0.866378482
Leaflitter,0.597161006
Leaflitter,0.901330461
Leaflitter,0.900806627
Leaflitter,0.679497891
Leaflitter,0.91444681
Leaflitter,0.81519332
Leaflitter,0.891493091
Leaflitter,0.939065205
Leaflitter,0.840257911
Leaflitter,0.908472247
Leaflitter,0.945970776
Leaflitter,0.86193557
Leaflitter,0.770126031
Leaflitter,0.939924041
Leaflitter,0.937115568
Leaflitter,0.76090121
Leaflitter,0.982847529
Leaflitter,0.818748593
Leaflitter,0.857743346
Leaflitter,0.786706535
Leaflitter,0.803878349
Leaflitter,0.931956863
Leaflitter,0.951149385
Leaflitter,0.877456827
Leaflitter,0.933501476
Leaflitter,0.709180686
Leaflitter,0.736892802
Leaflitter,0.679262288
Leaflitter,0.759374221
Leaflitter,0.85855216
Leaflitter,0.914335579
Leaflitter,0.885716748
Leaflitter,0.956095147
Leaflitter,0.785039261
Leaflitter,0.813829256
Leaflitter,0.907806882
Leaflitter,0.881854249
Leaflitter,0.813667476
Leaflitter,0.504177585
Leaflitter,0.8789838
Leaflitter,0.852677534
Leaflitter,0.982650981
Leaflitter,0.871744467
Leaflitter,0.885057406
Leaflitter,0.560534062
Leaflitter,0.860330647
Leaflitter,0.741798017
Leaflitter,0.968853848
Leaflitter,0.909358106
Leaflitter,0.580385284
Leaflitter,0.786261808
Leaflitter,0.837925403
Leaflitter,0.610177893
Leaflitter,0.819723232
Leaflitter,0.821622741
Leaflitter,0.879672217
Leaflitter,0.950299466
Leaflitter,0.814123171
Leaflitter,0.808225154
Leaflitter,0.855982891
Leaflitter,0.962597751
Leaflitter,0.734177239
Leaflitter,0.927394215
Leaflitter,0.955222938
Leaflitter,0.689088963
Leaflitter,0.954989022
Leaflitter,0.866369044
Leaflitter,0.773544243
Leaflitter,0.793645354
Leaflitter,0.81083432
Leaflitter,0.758551901
Leaflitter,0.819876033
Leaflitter,0.92706824
Leaflitter,0.848033484
Leaflitter,0.898333214
Leaflitter,0.945135398
Leaflitter,0.837046744
Leaflitter,0.980978274
Leaflitter,0.854500319
Leaflitter,0.786979541
Leaflitter,0.833403959
Leaflitter,0.825712682
Leaflitter,0.836814397
Leaflitter,0.934543828
Leaflitter,0.734156432
Leaflitter,0.965019299
Leaflitter,0.862135494
Leaflitter,0.707254075
Leaflitter,0.823397824
Leaflitter,0.842996279
Leaflitter,0.798206462
Leaflitter,0.676386297
Leaflitter,0.918740019
Leaflitter,0.838465434
Leaflitter,0.961899974
Leaflitter,0.881683672
Leaflitter,0.823769907
Leaflitter,0.62146784
Leaflitter,0.735870316
Leaflitter,0.692339368
Leaflitter,0.941141833
Leaflitter,0.892951619
Leaflitter,0.909081968
Leaflitter,0.903938466
Leaflitter,0.75202262
Leaflitter,0.92102866
Leaflitter,0.87487608
Leaflitter,0.858983365
Leaflitter,0.833032938
Leaflitter,0.81537666
Leaflitter,0.876085476
Leaflitter,0.815911449
Leaflitter,0.683188182
Leaflitter,0.888884702
Leaflitter,0.930172231
Leaflitter,0.842369581
Leaflitter,0.905142582
Leaflitter,0.797875912
Leaflitter,0.932767537
Leaflitter,0.839319941
Leaflitter,0.822265091
Leaflitter,0.994707797
Leaflitter,0.742079552
Leaflitter,0.833737168
Leaflitter,0.887865698
Leaflitter,0.936396727
Leaflitter,0.716497155
Leaflitter,0.916231025
Leaflitter,0.8960411
Leaflitter,0.717483108
Leaflitter,0.488072758
Leaflitter,0.450642104
Leaflitter,0.790430632
Leaflitter,0.927232252
Leaflitter,0.936346587
Leaflitter,0.901552872
Leaflitter,0.701905127
Leaflitter,0.866779888
Leaflitter,0.649526166
Leaflitter,0.728685064
Leaflitter,0.695533053
Leaflitter,0.884764344
Leaflitter,0.87582523
Leaflitter,0.768705657
Leaflitter,0.611238974
Leaflitter,0.907408061
Leaflitter,0.725690775
Leaflitter,0.753517335
Leaflitter,0.836259712
Leaflitter,0.774734695
Leaflitter,0.865355639
Leaflitter,0.354026074
Leaflitter,0.818861847
Leaflitter,0.923821093
Leaflitter,0.815141366
Leaflitter,0.896275548
Leaflitter,0.967363498
Leaflitter,0.941324266
Leaflitter,0.983441553
Leaflitter,0.670542308
Leaflitter,0.816126344
Leaflitter,0.526800937
Leaflitter,0.940874277
Leaflitter,0.86516917
Leaflitter,0.823348803
Leaflitter,0.906593561
Leaflitter,0.792138665
Leaflitter,0.677710115
Leaflitter,0.843280158
Leaflitter,0.864657057
Leaflitter,0.712766907
Leaflitter,0.972843661
Leaflitter,0.962858359
Leaflitter,0.882733874
Leaflitter,0.823357042
Leaflitter,0.711574764
Leaflitter,0.930019733
Leaflitter,0.886311528
Leaflitter,0.826560906
Leaflitter,0.735426379
Leaflitter,0.91471145
Leaflitter,0.954113979
Leaflitter,0.84449664
Leaflitter,0.851417852
Leaflitter,0.87148411
Leaflitter,0.843619318
Leaflitter,0.582355816
Leaflitter,0.718318003
Leaflitter,0.85210146
Leaflitter,0.879186682
Leaflitter,0.869980995
Leaflitter,0.875275184
Leaflitter,0.965354718
Leaflitter,0.930353636
Leaflitter,0.787057381
Leaflitter,0.861067368
Leaflitter,0.764929059
Leaflitter,0.68063643
Leaflitter,0.853218806
Leaflitter,0.909873458
Leaflitter,0.748051455
Leaflitter,0.512320771
Leaflitter,0.548344442
Leaflitter,0.756394558
Leaflitter,0.873230224
Leaflitter,0.929007102
Leaflitter,0.91809121
Leaflitter,0.97495635
Leaflitter,0.893022452
Leaflitter,0.500935794
Leaflitter,0.500880797
Leaflitter,0.824046493
Leaflitter,0.79482071
Leaflitter,0.759240256
Leaflitter,0.882886716
Leaflitter,0.908521776
Leaflitter,0.987305212
Leaflitter,0.624002529
Leaflitter,0.649819903
Leaflitter,0.843165865
Leaflitter,0.829764839
Leaflitter,0.679161528
Leaflitter,0.623817247
Leaflitter,0.868471548
Leaflitter,0.904388895
Leaflitter,0.907554323
Leaflitter,0.879463107
Leaflitter,0.858751515
Leaflitter,0.978551152
Leaflitter,0.95612048
Leaflitter,0.859376632
Leaflitter,0.800236661
Leaflitter,0.90640027
Leaflitter,0.793317956
Leaflitter,0.91297067
Leaflitter,0.957088085
Leaflitter,0.865924559
Leaflitter,0.662681599
Leaflitter,0.881386924
Leaflitter,0.762225824
Leaflitter,0.894049117
Leaflitter,0.895897079
Leaflitter,0.675510788
Leaflitter,0.494590682
Leaflitter,0.609210529
Leaflitter,0.725072354
Leaflitter,0.932641428
Leaflitter,0.795692037
Leaflitter,0.671221135
Leaflitter,0.58789376
Leaflitter,0.849051495
Leaflitter,0.790871425
Leaflitter,0.866418622
Leaflitter,0.763591231
Leaflitter,0.860186984
Leaflitter,0.834455782
Leaflitter,0.950795754
Leaflitter,0.801363808
Leaflitter,0.908025182
Leaflitter,0.931992916
Leaflitter,0.955316154
Leaflitter,0.816818594
Leaflitter,0.893118706
Leaflitter,0.746577754
Leaflitter,0.807934662
Leaflitter,0.877240354
Leaflitter,0.961412942
Leaflitter,0.730225394
Leaflitter,0.69833706
Leaflitter,0.830874482
Leaflitter,0.816446924
Leaflitter,0.822775346
Leaflitter,0.652800395
Leaflitter,0.961098103
Leaflitter,0.723063579
Leaflitter,0.970138022
Leaflitter,0.871191755
Leaflitter,0.985051037
Leaflitter,0.910708093
Leaflitter,0.816210177
Leaflitter,0.804003661
Leaflitter,0.903251108
Leaflitter,0.749212455
Leaflitter,0.883147998
Leaflitter,0.881310611
Leaflitter,0.862122578
Leaflitter,0.819289302
Leaflitter,0.956078386
Leaflitter,0.718890358
Leaflitter,0.883862254
Leaflitter,0.907955726
Leaflitter,0.598531683
Leaflitter,0.805844503
Leaflitter,0.93074597
Leaflitter,0.732594949
Leaflitter,0.891663438
Leaflitter,0.577388606
Leaflitter,0.837788036
Leaflitter,0.895759398
Leaflitter,0.800462928
Leaflitter,0.955847151
Leaflitter,0.866380552
Leaflitter,0.630122871
Leaflitter,0.879655312
Leaflitter,0.880387021
Leaflitter,0.67604823
Leaflitter,0.851968834
Leaflitter,0.697602306
Leaflitter,0.695320952
Leaflitter,0.935122515
Leaflitter,0.849040156
Leaflitter,0.924400498
Leaflitter,0.880052795
Leaflitter,0.859136708
Leaflitter,0.877489793
Leaflitter,0.756796428
Leaflitter,0.917511579
Leaflitter,0.832410663
Leaflitter,0.700200082
Leaflitter,0.946615828
Leaflitter,0.886315473
Leaflitter,0.82704585
Leaflitter,0.524507693
Leaflitter,0.746298868
Leaflitter,0.851623009
Leaflitter,0.954843317
Leaflitter,0.570336316
Leaflitter,0.777213468
Leaflitter,0.889593524
Leaflitter,0.655142165
Leaflitter,0.596476029
Leaflitter,0.826927861
Leaflitter,0.741003639
Leaflitter,0.723585692
Leaflitter,0.923264303
Leaflitter,0.790108947
Leaflitter,0.906274054
Leaflitter,0.939637433
Leaflitter,0.915915839
Leaflitter,0.86875952
Leaflitter,0.79548314
Leaflitter,0.899074484
Leaflitter,0.794861126
Leaflitter,0.843346927
Leaflitter,0.907144571
Leaflitter,0.926897624
Leaflitter,0.755077727
Leaflitter,0.905794502
Leaflitter,0.882754524
Leaflitter,0.925188229
Leaflitter,0.681244641
Leaflitter,0.609205234
Leaflitter,0.71239965
Leaflitter,0.867860066
Leaflitter,0.704779671
Leaflitter,0.92862496
Leaflitter,0.940896386
Leaflitter,0.972505691
Leaflitter,0.929512403
Leaflitter,0.888190763
