source,density
Leaflitter,0.185836361
Leaflitter,0.154852735
Leaflitter,0.169964056
Leaflitter,0.197103957
Leaflitter,0.121903216
Leaflitter,0.162369041
Leaflitter,0.009115558
Leaflitter,0.030960207
Leaflitter,0.016897999
Leaflitter,0.012022083
Leaflitter,0.031927691
Leaflitter,0.071517132
Leaflitter,0.037092416
Leaflitter,0.022046426
Leaflitter,0.063391956
Leaflitter,0.117220658
Leaflitter,0.005222871
Leaflitter,0.036539847
Leaflitter,0.006223615
Leaflitter,0.00597231
Leaflitter,0.096180937
Leaflitter,0.149121663
Leaflitter,0.127560209
Leaflitter,0.016553979
Leaflitter,0.247858911
Leaflitter,0.065756002
Leaflitter,0.159322679
Leaflitter,0.171818144
Leaflitter,0.283761052
Leaflitter,0.106034858
Leaflitter,0.144530063
Leaflitter,0.11167661
Leaflitter,0.053117838
Leaflitter,0.015806046
Leaflitter,0.276687234
Leaflitter,0.149238193
Leaflitter,0.02826061
Leaflitter,0.015656123
Leaflitter,0.131408911
Leaflitter,0.029855055
Leaflitter,0.077308222
Leaflitter,0.105098417
Leaflitter,0.084668246
Leaflitter,0.026272182
Leaflitter,0.12675515
Leaflitter,0.249203025
Leaflitter,0.013224542
Leaflitter,0.028682214
Leaflitter,0.004019262
Leaflitter,0.084549886
Leaflitter,0.07857443
Leaflitter,0.118603634
Leaflitter,0.06225052
Leaflitter,0.050447923
Leaflitter,0.11246609
Leaflitter,0.369692087
Leaflitter,0.109695165
Leaflitter,0.223260857
Leaflitter,0.065829423
Leaflitter,0.098518696
Leaflitter,0.055171718
Leaflitter,0.154936952
Leaflitter,0.025407647
Leaflitter,0.077657236
Leaflitter,0.031171858
Leaflitter,0.011612258
Leaflitter,0.078456615
Leaflitter,0.013688126
Leaflitter,0.061746242
Leaflitter,0.041591306
Leaflitter,0.116720139
Leaflitter,0.151266531
Leaflitter,0.033270098
Leaflitter,0.004182741
Leaflitter,0.044634175
Leaflitter,0.042609962
Leaflitter,0.15798563
Leaflitter,0.060315606
Leaflitter,0.045832753
Leaflitter,0.004093398
Leaflitter,0.273847902
Leaflitter,0.010579633
Leaflitter,0.073980553
Leaflitter,0.003112862
Leaflitter,0.057807941
Leaflitter,0.000529151
Leaflitter,0.004042004
Leaflitter,0.026105207
Leaflitter,0.00398692
Leaflitter,0.186240069
Leaflitter,0.045471079
Leaflitter,0.092133896
Leaflitter,0.041748791
Leaflitter,0.096795825
Leaflitter,0.021278471
Leaflitter,0.205564454
Leaflitter,0.001286598
Leaflitter,0.051903841
Leaflitter,0.010663462
Leaflitter,0.063684926
Leaflitter,0.015890923
Leaflitter,0.046399136
Leaflitter,0.263947482
Leaflitter,0.021002761
Leaflitter,0.155059689
Leaflitter,0.020974903
Leaflitter,0.214161278
Leaflitter,0.093767184
Leaflitter,0.196876276
Leaflitter,0.087149065
Leaflitter,0.204203899
