source,density
Leaflitter,0.667670165
Leaflitter,0.881446507
Leaflitter,0.872602329
Leaflitter,0.911326939
Leaflitter,0.942250104
Leaflitter,0.488970596
Leaflitter,0.8776549
Leaflitter,0.904642265
Leaflitter,0.850767442
Leaflitter,0.836846483
Leaflitter,0.933258052
Leaflitter,0.930061068
Leaflitter,0.743630188
Leaflitter,0.564715613
Leaflitter,0.677635604
Leaflitter,0.872411496
Leaflitter,0.940548905
Leaflitter,0.889800251
Leaflitter,0.757708272
Leaflitter,0.749940022
Leaflitter,0.899181119
Leaflitter,0.76319658
Leaflitter,0.948730639
Leaflitter,0.666380357
Leaflitter,0.519766502
Leaflitter,0.921159079
Leaflitter,0.74070626
Leaflitter,0.743203366
Leaflitter,0.78482731
Leaflitter,0.781187545
Leaflitter,0.851373224
Leaflitter,0.763792806
Leaflitter,0.849176442
Leaflitter,0.877236906
Leaflitter,0.884169316
Leaflitter,0.75811659
Leaflitter,0.744487811
Leaflitter,0.855656904
Leaflitter,0.907056179
Leaflitter,0.823931126
Leaflitter,0.935410415
Leaflitter,0.897626393
Leaflitter,0.929393883
Leaflitter,0.939211735
Leaflitter,0.853519648
Leaflitter,0.824673298
Leaflitter,0.93560344
Leaflitter,0.756006508
Leaflitter,0.641246484
Leaflitter,0.582635773
Leaflitter,0.939488268
Leaflitter,0.598136728
Leaflitter,0.756428322
Leaflitter,0.858950086
Leaflitter,0.79575639
Leaflitter,0.792483106
Leaflitter,0.794866524
Leaflitter,0.777772823
Leaflitter,0.950067188
Leaflitter,0.314545046
Leaflitter,0.778138917
Leaflitter,0.890121348
Leaflitter,0.577829075
Leaflitter,0.929750105
Leaflitter,0.772774259
Leaflitter,0.986571467
Leaflitter,0.97945709
Leaflitter,0.740747323
Leaflitter,0.935803265
Leaflitter,0.829375243
Leaflitter,0.84816091
Leaflitter,0.940210147
Leaflitter,0.856726826
Leaflitter,0.763566813
Leaflitter,0.910635274
Leaflitter,0.801053728
Leaflitter,0.798359634
Leaflitter,0.844373686
Leaflitter,0.850499542
Leaflitter,0.906851869
Leaflitter,0.964470999
Leaflitter,0.896635
Leaflitter,0.851386743
Leaflitter,0.885579749
Leaflitter,0.944353054
Leaflitter,0.770685521
Leaflitter,0.824412505
Leaflitter,0.919077508
Leaflitter,0.745145594
Leaflitter,0.794295622
Leaflitter,0.823152395
Leaflitter,0.765029981
Leaflitter,0.748827444
Leaflitter,0.920120431
Leaflitter,0.847972151
Leaflitter,0.864082936
Leaflitter,0.950388927
Leaflitter,0.874367352
Leaflitter,0.669609039
Leaflitter,0.864645371
Leaflitter,0.976847636
Leaflitter,0.834814362
Leaflitter,0.542669125
Leaflitter,0.825987554
Leaflitter,0.843767329
Leaflitter,0.958138628
Leaflitter,0.817322126
Leaflitter,0.377283255
Leaflitter,0.838305101
Leaflitter,0.910705927
Leaflitter,0.616707976
Leaflitter,0.880062903
Leaflitter,0.903256248
Leaflitter,0.908925781
Leaflitter,0.644653409
Leaflitter,0.898654224
Leaflitter,0.873287635
Leaflitter,0.887834731
Leaflitter,0.678221267
Leaflitter,0.94617155
Leaflitter,0.767419728
Leaflitter,0.899980602
Leaflitter,0.444105473
Leaflitter,0.968923575
Leaflitter,0.93438288
Leaflitter,0.525356809
Leaflitter,0.868357613
Leaflitter,0.883403129
Leaflitter,0.808581947
Leaflitter,0.944112425
Leaflitter,0.84741666
Leaflitter,0.919964501
Leaflitter,0.824805282
Leaflitter,0.604301185
Leaflitter,0.889402807
Leaflitter,0.823203548
Leaflitter,0.943509813
Leaflitter,0.548372138
Leaflitter,0.932853811
Leaflitter,0.678117148
Leaflitter,0.967085565
Leaflitter,0.660831295
Leaflitter,0.840155649
Leaflitter,0.874135863
Leaflitter,0.862184667
Leaflitter,0.915764014
Leaflitter,0.960109559
Leaflitter,0.882292102
Leaflitter,0.885134144
Leaflitter,0.643891423
Leaflitter,0.93820523
Leaflitter,0.793549386
Leaflitter,0.830640583
Leaflitter,0.470491304
Leaflitter,0.877244234
Leaflitter,0.624527448
Leaflitter,0.828827761
Leaflitter,0.979458038
Leaflitter,0.845482669
Leaflitter,0.960413007
Leaflitter,0.704151805
Leaflitter,0.621628367
Leaflitter,0.930171099
Leaflitter,0.767436982
Leaflitter,0.61037081
Leaflitter,0.793913333
Leaflitter,0.721095714
Leaflitter,0.815196312
Leaflitter,0.867285731
Leaflitter,0.986675738
Leaflitter,0.650789916
Leaflitter,0.667129289
Leaflitter,0.972926963
Leaflitter,0.695486256
Leaflitter,0.869063215
Leaflitter,0.689416498
Leaflitter,0.858089334
Leaflitter,0.901941995
Leaflitter,0.88200733
Leaflitter,0.921762468
Leaflitter,0.595627216
Leaflitter,0.655881934
Leaflitter,0.938637192
Leaflitter,0.927352438
Leaflitter,0.858173436
Leaflitter,0.684554819
Leaflitter,0.634349958
Leaflitter,0.668360096
Leaflitter,0.892260166
Leaflitter,0.775945166
Leaflitter,0.811717925
Leaflitter,0.921035204
Leaflitter,0.771452862
Leaflitter,0.926873719
Leaflitter,0.841994546
Leaflitter,0.570240368
Leaflitter,0.7668505
Leaflitter,0.74258597
Leaflitter,0.91008397
Leaflitter,0.619942581
Leaflitter,0.530272982
Leaflitter,0.780091471
Leaflitter,0.714322563
Leaflitter,0.486268843
Leaflitter,0.742083634
Leaflitter,0.888105942
Leaflitter,0.789483043
Leaflitter,0.75071996
Leaflitter,0.522573083
Leaflitter,0.963643553
Leaflitter,0.600189628
Leaflitter,0.885056797
Leaflitter,0.834959865
Leaflitter,0.689994433
Leaflitter,0.974044051
Leaflitter,0.923131635
Leaflitter,0.972191963
Leaflitter,0.907358533
Leaflitter,0.833903291
Leaflitter,0.841096818
Leaflitter,0.778315714
Leaflitter,0.960536759
Leaflitter,0.654127573
Leaflitter,0.920558104
Leaflitter,0.919184079
Leaflitter,0.969326835
Leaflitter,0.765053179
Leaflitter,0.803963158
Leaflitter,0.730577715
Leaflitter,0.843184686
Leaflitter,0.766081565
Leaflitter,0.910031088
Leaflitter,0.979685056
Leaflitter,0.930526855
Leaflitter,0.935348324
Leaflitter,0.848527516
Leaflitter,0.611655413
Leaflitter,0.728153765
Leaflitter,0.976129398
Leaflitter,0.702078657
Leaflitter,0.915318569
Leaflitter,0.987911505
Leaflitter,0.461430483
Leaflitter,0.810836316
Leaflitter,0.780578345
Leaflitter,0.555329339
Leaflitter,0.806181813
Leaflitter,0.929323856
Leaflitter,0.879329266
Leaflitter,0.599066037
Leaflitter,0.693762594
Leaflitter,0.524783692
Leaflitter,0.776684436
Leaflitter,0.68367397
Leaflitter,0.910113887
Leaflitter,0.472947134
Leaflitter,0.796799032
Leaflitter,0.76387593
Leaflitter,0.89161987
