source,density
Leaflitter,0.061310564
Leaflitter,0.062580104
Leaflitter,0.144595456
Leaflitter,0.031839227
Leaflitter,0.097829243
Leaflitter,0.057010664
Leaflitter,0.05746255
Leaflitter,0.158047746
Leaflitter,0.008574725
Leaflitter,0.074789108
Leaflitter,0.000760655
Leaflitter,0.224303897
Leaflitter,0.352390697
Leaflitter,0.162726546
Leaflitter,0.047733927
Leaflitter,0.039353706
Leaflitter,0.134862506
Leaflitter,0.043397274
Leaflitter,0.079961511
Leaflitter,0.168550585
Leaflitter,0.032305442
Leaflitter,0.029624977
Leaflitter,0.588730834
Leaflitter,0.085525946
Leaflitter,0.05875722
Leaflitter,0.084519695
Leaflitter,0.062366261
Leaflitter,0.086125818
Leaflitter,0.021627731
Leaflitter,0.040971725
Leaflitter,0.01809195
Leaflitter,0.037048271
Leaflitter,0.133045115
Leaflitter,0.034899146
Leaflitter,0.190993271
Leaflitter,0.496872618
Leaflitter,0.036847601
Leaflitter,0.223515781
Leaflitter,0.044709763
Leaflitter,0.071069352
Leaflitter,0.14962929
Leaflitter,0.102052305
Leaflitter,0.113286112
Leaflitter,0.243602939
Leaflitter,0.076609714
Leaflitter,0.04866848
Leaflitter,0.075602297
Leaflitter,0.207790368
Leaflitter,0.009458208
Leaflitter,0.123639878
Leaflitter,0.372790244
Leaflitter,0.000935754
Leaflitter,0.076242584
Leaflitter,0.219367983
Leaflitter,0.049114028
Leaflitter,0.029606762
Leaflitter,0.083265242
Leaflitter,0.008031004
Leaflitter,0.039759794
Leaflitter,0.394009623
Leaflitter,0.264259536
Leaflitter,0.361415194
Leaflitter,0.003483061
Leaflitter,0.129663389
Leaflitter,0.134195719
Leaflitter,0.04054253
Leaflitter,0.036238036
Leaflitter,0.089284084
Leaflitter,0.019430165
Leaflitter,0.424148965
Leaflitter,0.053430262
Leaflitter,0.147836934
Leaflitter,0.029502021
Leaflitter,0.019993416
Leaflitter,0.185021977
Leaflitter,0.226499136
Leaflitter,0.142195195
Leaflitter,0.07021247
Leaflitter,0.023331751
Leaflitter,0.052804364
Leaflitter,0.047206618
Leaflitter,0.319513404
Leaflitter,0.222504089
Leaflitter,0.003945144
Leaflitter,0.039576174
Leaflitter,0.070017048
Leaflitter,0.161146548
Leaflitter,0.159877007
Leaflitter,0.219624988
Leaflitter,0.044162573
Leaflitter,0.054220944
Leaflitter,0.009419374
Leaflitter,0.054446511
Leaflitter,0.104046371
Leaflitter,0.055274209
Leaflitter,0.272009609
Leaflitter,0.274537388
Leaflitter,0.036932722
Leaflitter,0.11167158
Leaflitter,0.032337003
Leaflitter,0.031786915
Leaflitter,0.129640739
Leaflitter,0.541085966
Leaflitter,0.013663458
Leaflitter,0.015903967
Leaflitter,0.077327989
Leaflitter,0.190864519
Leaflitter,0.015612743
Leaflitter,0.03319995
Leaflitter,0.007301122
Leaflitter,0.058844578
Leaflitter,0.09897494
Leaflitter,0.096990831
Leaflitter,0.026826553
Leaflitter,0.003583639
Leaflitter,0.317506429
Leaflitter,0.01408972
Leaflitter,0.029441844
Leaflitter,0.039052606
Leaflitter,0.294115892
Leaflitter,0.124608689
Leaflitter,0.023159846
Leaflitter,0.035879275
Leaflitter,0.029516031
Leaflitter,0.301650753
Leaflitter,0.096725883
Leaflitter,0.06966967
Leaflitter,0.093484639
Leaflitter,0.059890457
Leaflitter,0.310502375
Leaflitter,0.053341547
Leaflitter,0.077364012
Leaflitter,0.068037782
Leaflitter,0.017937406
Leaflitter,0.078335259
Leaflitter,0.102531014
Leaflitter,0.181596739
Leaflitter,0.019440547
Leaflitter,0.001494723
Leaflitter,0.106373874
Leaflitter,0.008754498
Leaflitter,0.088683944
Leaflitter,0.034113648
Leaflitter,0.076825539
Leaflitter,0.040475315
Leaflitter,0.115315072
Leaflitter,0.033718174
Leaflitter,0.019378544
Leaflitter,0.040968177
Leaflitter,0.359511756
Leaflitter,0.006815582
Leaflitter,0.259591031
Leaflitter,0.075817585
Leaflitter,0.18334721
Leaflitter,0.052848544
Leaflitter,0.40374871
Leaflitter,0.076101438
Leaflitter,0.044053748
Leaflitter,0.087277357
Leaflitter,0.070212539
Leaflitter,0.003447045
Leaflitter,0.141674668
Leaflitter,0.104409497
Leaflitter,0.035389359
Leaflitter,0.2408891
Leaflitter,0.062962245
Leaflitter,0.088753248
Leaflitter,0.041946014
Leaflitter,0.166933119
Leaflitter,0.065852079
Leaflitter,0.011391735
Leaflitter,0.085447979
Leaflitter,0.049976202
Leaflitter,0.344014337
Leaflitter,0.096538481
Leaflitter,0.125548383
Leaflitter,0.004232077
Leaflitter,0.045689575
Leaflitter,0.033201763
Leaflitter,0.073103956
Leaflitter,0.16126739
Leaflitter,0.019362905
Leaflitter,0.080667777
Leaflitter,0.014983744
Leaflitter,0.03659549
Leaflitter,0.003181451
Leaflitter,0.016310108
Leaflitter,0.0351024
Leaflitter,0.053367215
Leaflitter,0.077564569
Leaflitter,0.611837543
Leaflitter,0.013147427
Leaflitter,0.028903447
Leaflitter,0.080843759
Leaflitter,0.431862936
Leaflitter,0.336307592
Leaflitter,0.142175564
Leaflitter,0.039478554
Leaflitter,0.289142918
Leaflitter,0.217009012
Leaflitter,0.052348053
Leaflitter,0.041298153
Leaflitter,0.258103877
Leaflitter,0.143558599
Leaflitter,0.058326024
Leaflitter,0.011031099
Leaflitter,0.11787855
Leaflitter,0.076233367
Leaflitter,0.033260058
Leaflitter,0.064423462
Leaflitter,0.253187026
Leaflitter,0.037349709
Leaflitter,0.079977525
Leaflitter,0.00169133
Leaflitter,0.039100979
Leaflitter,0.123646216
Leaflitter,0.13964346
Leaflitter,0.084405302
Leaflitter,0.112286531
Leaflitter,0.008280378
Leaflitter,0.449176447
Leaflitter,0.104709775
Leaflitter,0.006793215
Leaflitter,0.107147734
Leaflitter,0.014971808
Leaflitter,0.578863364
Leaflitter,0.091881538
Leaflitter,0.110482011
Leaflitter,0.015530634
Leaflitter,0.111934372
Leaflitter,0.069942811
Leaflitter,0.088527165
Leaflitter,0.031511067
Leaflitter,0.002861335
Leaflitter,0.019449476
Leaflitter,0.044448362
Leaflitter,0.031241477
Leaflitter,0.110765587
Leaflitter,0.036993274
Leaflitter,0.130169055
Leaflitter,0.044519014
Leaflitter,0.396592943
Leaflitter,0.188118725
Leaflitter,0.082667937
Leaflitter,0.572896864
Leaflitter,0.043593066
Leaflitter,0.088534004
Leaflitter,0.028264412
Leaflitter,0.019185565
Leaflitter,0.000841252
Leaflitter,0.03052533
Leaflitter,0.058848776
Leaflitter,0.104231343
Leaflitter,0.091685849
Leaflitter,0.185080091
Leaflitter,0.004022977
Leaflitter,0.196066436
Leaflitter,0.12684186
Leaflitter,0.039621965
Leaflitter,0.044373577
Leaflitter,0.224343288
Leaflitter,0.072467854
Leaflitter,0.013002933
Leaflitter,0.272994392
Leaflitter,0.063279961
Leaflitter,0.104615158
Leaflitter,0.003727401
Leaflitter,0.423497477
Leaflitter,0.002306882
Leaflitter,0.00894702
Leaflitter,0.077696519
Leaflitter,0.181509337
Leaflitter,0.036784422
Leaflitter,0.045249819
Leaflitter,0.04533186
Leaflitter,0.105688429
Leaflitter,0.077462846
Leaflitter,0.054695847
Leaflitter,0.063461941
Leaflitter,0.048898513
Leaflitter,0.242686309
Leaflitter,0.181335372
Leaflitter,0.021615959
Leaflitter,0.166070099
Leaflitter,0.049825219
Leaflitter,0.11265822
Leaflitter,0.300500892
Leaflitter,0.071915644
Leaflitter,0.119976295
Leaflitter,0.000229072
Leaflitter,0.007421617
Leaflitter,0.262621179
Leaflitter,0.021324862
Leaflitter,0.06199662
Leaflitter,0.156452768
Leaflitter,0.09155274
Leaflitter,0.015318279
Leaflitter,0.133529386
Leaflitter,0.618021633
Leaflitter,0.139660688
Leaflitter,0.076159672
Leaflitter,0.000802735
Leaflitter,0.005534486
Leaflitter,0.352195024
Leaflitter,0.140622538
Leaflitter,0.018616091
Leaflitter,0.203563471
Leaflitter,0.123186383
Leaflitter,0.079051563
Leaflitter,0.067731688
Leaflitter,0.247267707
Leaflitter,0.108070477
Leaflitter,0.011351676
Leaflitter,0.204132182
Leaflitter,0.007121257
Leaflitter,0.053090484
Leaflitter,0.132921436
Leaflitter,0.02131078
Leaflitter,0.053242365
Leaflitter,0.163081247
Leaflitter,0.207801714
Leaflitter,0.018712418
Leaflitter,0.161281885
Leaflitter,0.012040676
Leaflitter,0.067830781
Leaflitter,0.066329813
Leaflitter,0.10913953
Leaflitter,0.005521776
Leaflitter,0.104814946
Leaflitter,0.03434992
Leaflitter,0.0719593
Leaflitter,0.041655374
Leaflitter,0.070947335
Leaflitter,0.026011363
Leaflitter,0.019416079
Leaflitter,0.068424156
Leaflitter,0.213438579
Leaflitter,0.257884945
Leaflitter,0.24872475
Leaflitter,0.156055463
Leaflitter,0.004435306
Leaflitter,0.066022525
Leaflitter,0.059534559
Leaflitter,0.067914237
Leaflitter,0.642352385
Leaflitter,0.139260266
Leaflitter,0.027503968
Leaflitter,0.052306791
Leaflitter,0.092345784
Leaflitter,0.215004093
Leaflitter,0.146948579
Leaflitter,0.02867649
Leaflitter,0.137952218
Leaflitter,0.283452732
Leaflitter,0.046908277
Leaflitter,0.101112237
Leaflitter,0.041133145
Leaflitter,0.09353178
Leaflitter,0.100573137
Leaflitter,0.032423751
Leaflitter,0.054165876
Leaflitter,0.062565423
Leaflitter,0.004555995
Leaflitter,0.104749604
Leaflitter,0.150591649
Leaflitter,0.087249756
Leaflitter,0.079645688
Leaflitter,0.075135405
Leaflitter,0.219576935
Leaflitter,0.056752754
Leaflitter,0.009571136
Leaflitter,0.111712648
Leaflitter,0.013798787
Leaflitter,0.182886612
Leaflitter,0.035126343
Leaflitter,0.149908382
Leaflitter,0.171202811
Leaflitter,0.155204534
Leaflitter,0.311420287
Leaflitter,0.127358267
Leaflitter,0.029195455
Leaflitter,0.020574287
Leaflitter,0.224099178
Leaflitter,0.050692861
Leaflitter,0.011858645
Leaflitter,0.004218514
Leaflitter,0.16109344
Leaflitter,0.098481835
Leaflitter,0.028704374
Leaflitter,0.001253943
Leaflitter,0.009131158
Leaflitter,0.079003142
Leaflitter,0.101105984
Leaflitter,0.121944379
Leaflitter,0.01868712
Leaflitter,0.097251677
Leaflitter,0.101085345
Leaflitter,0.228409371
Leaflitter,0.088724168
Leaflitter,0.135901776
Leaflitter,0.008770307
Leaflitter,0.020522598
Leaflitter,0.148046072
Leaflitter,0.003703805
Leaflitter,0.012718852
Leaflitter,0.085325431
Leaflitter,0.09572963
Leaflitter,0.114316043
Leaflitter,0.125013809
Leaflitter,0.097226694
Leaflitter,0.308110256
Leaflitter,0.059887809
Leaflitter,0.022483952
Leaflitter,0.029289308
Leaflitter,0.226344744
Leaflitter,0.00033206
Leaflitter,0.074609042
Leaflitter,0.041240317
Leaflitter,0.634347446
Leaflitter,0.014626523
Leaflitter,0.173608912
Leaflitter,0.726436905
Leaflitter,0.036299334
Leaflitter,0.120016345
Leaflitter,0.197885687
Leaflitter,0.09524323
Leaflitter,0.154814319
Leaflitter,0.118238287
Leaflitter,0.034674877
Leaflitter,0.02076614
Leaflitter,0.174791235
Leaflitter,0.03113522
Leaflitter,0.092026085
Leaflitter,0.055522713
Leaflitter,0.009731493
Leaflitter,0.0470714
Leaflitter,0.025545672
Leaflitter,0.151630733
Leaflitter,0.042332599
Leaflitter,0.187348619
Leaflitter,0.009795297
Leaflitter,0.153942126
Leaflitter,0.12314904
Leaflitter,0.018982888
Leaflitter,0.037922724
Leaflitter,0.20677733
Leaflitter,0.275504484
Leaflitter,0.712632224
Leaflitter,0.085628972
Leaflitter,0.079372021
Leaflitter,0.001696825
Leaflitter,0.042117933
Leaflitter,0.09214607
Leaflitter,0.276921633
Leaflitter,0.066370894
Leaflitter,0.090620834
Leaflitter,0.172338621
Leaflitter,0.223095297
Leaflitter,0.086894262
Leaflitter,0.127973772
Leaflitter,0.220092362
Leaflitter,0.097423776
Leaflitter,0.059071713
Leaflitter,0.055654547
Leaflitter,0.076710091
Leaflitter,0.022192243
Leaflitter,0.659742899
Leaflitter,0.093821936
Leaflitter,0.032676801
Leaflitter,0.234487941
Leaflitter,0.045192772
Leaflitter,0.22224007
Leaflitter,0.334245298
Leaflitter,0.029657877
Leaflitter,0.08778151
Leaflitter,0.067149618
Leaflitter,0.037181356
Leaflitter,0.043149982
Leaflitter,0.086938106
Leaflitter,0.115637235
Leaflitter,0.163395162
Leaflitter,0.157748491
Leaflitter,0.042013197
Leaflitter,0.019682978
Leaflitter,0.07775738
Leaflitter,0.092973582
Leaflitter,0.065153961
Leaflitter,0.043742908
Leaflitter,0.021915364
Leaflitter,0.184158082
Leaflitter,0.104305351
Leaflitter,0.004606623
Leaflitter,0.138531515
Leaflitter,0.023053886
Leaflitter,0.210277457
Leaflitter,0.251215204
Leaflitter,0.039313207
Leaflitter,0.019759217
Leaflitter,0.013202528
Leaflitter,0.372518542
Leaflitter,0.14601742
Leaflitter,0.381106575
Leaflitter,0.073011805
Leaflitter,0.025992728
Leaflitter,0.008525053
Leaflitter,0.151516734
Leaflitter,0.011748677
Leaflitter,0.053263745
Leaflitter,0.116953198
Leaflitter,0.044945292
Leaflitter,0.282214676
Leaflitter,0.003606442
Leaflitter,0.144673544
Leaflitter,0.179355622
Leaflitter,0.124211238
Leaflitter,0.169406064
Leaflitter,0.051581892
Leaflitter,0.090284839
Leaflitter,0.001311541
Leaflitter,0.031190142
Leaflitter,0.068714296
Leaflitter,0.019496352
Leaflitter,0.340878185
Leaflitter,0.024916276
Leaflitter,0.060701645
Leaflitter,0.004989682
Leaflitter,0.272577795
Leaflitter,0.49318657
Leaflitter,0.558219542
Leaflitter,0.002747343
Leaflitter,0.195222576
Leaflitter,0.085346855
Leaflitter,0.053847886
Leaflitter,0.101577604
Leaflitter,0.264906718
Leaflitter,0.122314142
Leaflitter,0.317403356
Leaflitter,0.058250623
Leaflitter,0.044123767
Leaflitter,0.001737727
Leaflitter,0.123739412
Leaflitter,0.002808888
Leaflitter,0.051766595
Leaflitter,0.082155396
Leaflitter,0.517629831
Leaflitter,0.049311912
Leaflitter,0.083485178
Leaflitter,0.109752939
Leaflitter,0.054911024
Leaflitter,0.016075925
Leaflitter,0.043253491
Leaflitter,0.314044471
Leaflitter,0.00125875
Leaflitter,0.009193611
Leaflitter,0.058656803
Leaflitter,0.105705912
Leaflitter,0.291321542
Leaflitter,0.161053894
Leaflitter,0.122377735
Leaflitter,0.043088521
Leaflitter,0.029866326
Leaflitter,0.030641784
Leaflitter,0.017339791
Leaflitter,0.002847466
Leaflitter,0.068449757
Leaflitter,0.250135712
Leaflitter,0.190680444
Leaflitter,0.208426777
Leaflitter,0.037030659
Leaflitter,0.073248219
Leaflitter,0.327553999
Leaflitter,0.044764147
Leaflitter,0.064367787
Leaflitter,0.088507965
Leaflitter,0.016074205
Leaflitter,0.006788434
Leaflitter,0.041316151
Leaflitter,0.0218248
Leaflitter,0.031711982
Leaflitter,0.001468117
Leaflitter,0.122665388
Leaflitter,0.05893331
Leaflitter,0.285244643
Leaflitter,0.039004179
Leaflitter,0.543749122
Leaflitter,0.032226283
Leaflitter,0.022056975
Leaflitter,0.112247913
Leaflitter,0.026138889
Leaflitter,0.074451379
Leaflitter,0.125167329
Leaflitter,0.123314356
Leaflitter,0.001910663
Leaflitter,0.030100612
Leaflitter,0.07264045
Leaflitter,0.046279028
Leaflitter,0.039569241
Leaflitter,0.075334472
Leaflitter,0.002962034
Leaflitter,0.140656103
Leaflitter,0.02345831
Leaflitter,0.015455502
