source,density
Leaflitter,0.01036472
Leaflitter,0.097641742
Leaflitter,0.007601646
Leaflitter,0.079810632
Leaflitter,0.123694958
Leaflitter,0.094471984
Leaflitter,0.068403119
Leaflitter,0.157705223
Leaflitter,0.002961187
Leaflitter,0.00582468
Leaflitter,0.136001362
Leaflitter,0.033828766
Leaflitter,0.004030881
Leaflitter,0.33198242
Leaflitter,0.054561947
Leaflitter,0.058138253
Leaflitter,0.032818599
Leaflitter,0.323602853
Leaflitter,0.049925611
Leaflitter,0.026576328
Leaflitter,0.277669221
Leaflitter,0.039279669
Leaflitter,0.07082647
Leaflitter,0.004643288
Leaflitter,0.161076099
Leaflitter,0.076350503
Leaflitter,0.018752695
Leaflitter,0.090163684
Leaflitter,0.043262227
Leaflitter,0.1212623
Leaflitter,0.02208047
Leaflitter,0.157858922
Leaflitter,0.028052696
Leaflitter,0.036385724
Leaflitter,0.141614884
Leaflitter,0.008200029
Leaflitter,0.327044787
Leaflitter,0.006421996
Leaflitter,0.015871648
Leaflitter,0.047661653
Leaflitter,0.055267903
Leaflitter,0.120796196
Leaflitter,0.001066355
Leaflitter,0.104614024
Leaflitter,0.071662896
Leaflitter,0.15300411
Leaflitter,0.003843889
Leaflitter,0.05594854
Leaflitter,0.049469376
Leaflitter,0.212090783
Leaflitter,0.068699006
Leaflitter,0.005993739
Leaflitter,0.086413764
Leaflitter,0.116272411
Leaflitter,0.037881006
Leaflitter,0.065498171
Leaflitter,0.094540627
Leaflitter,0.067271974
Leaflitter,0.034286823
Leaflitter,0.039872296
Leaflitter,0.09305332
Leaflitter,0.027218709
Leaflitter,0.097823276
Leaflitter,0.071656736
Leaflitter,0.015165926
Leaflitter,0.065024677
Leaflitter,0.270590226
Leaflitter,0.054366546
Leaflitter,0.009011985
Leaflitter,0.020329875
Leaflitter,0.04400859
Leaflitter,0.026613961
Leaflitter,0.098725702
Leaflitter,0.138114041
Leaflitter,0.03750097
Leaflitter,0.015027134
Leaflitter,0.07216436
Leaflitter,0.003056316
Leaflitter,0.010973152
Leaflitter,0.071645647
Leaflitter,0.029590089
Leaflitter,0.03613549
Leaflitter,0.31267033
Leaflitter,0.005419216
Leaflitter,0.013940436
Leaflitter,0.042458499
Leaflitter,0.026699782
Leaflitter,0.052351518
Leaflitter,0.027703594
Leaflitter,0.080721248
Leaflitter,0.147284324
Leaflitter,0.105659487
Leaflitter,0.020922442
Leaflitter,0.279593435
Leaflitter,0.016192516
Leaflitter,0.05372978
Leaflitter,0.043261165
Leaflitter,0.001532942
Leaflitter,0.046479513
Leaflitter,0.077468527
Leaflitter,0.110173564
Leaflitter,0.273490665
Leaflitter,0.052604634
Leaflitter,0.001027761
Leaflitter,0.048846358
Leaflitter,0.008919808
