date,stream,period,value.afdm,value.chla,ratio
jan.17,qpa,six,10.9799862,468.2609004,42.64676585
jan.17,qpa,six,6.214550755,433.6845317,69.78533908
jan.17,qpa,six,8.205532213,1174.030572,143.077931
feb.17,qpa,six,13.24829932,615.9419102,46.49214932
feb.17,qpa,six,5.759303721,682.8764095,118.5692651
feb.17,qpa,six,5.725250627,879.7919157,153.6687166
oct.17,qpa,two,3.767589227,265.4349851,70.45220939
oct.17,qpa,two,3.138909885,367.3923224,117.0445587
oct.17,qpa,two,34.06182726,587.6357865,17.25203354
nov.17,qpa,two,3.213406052,278.7725381,86.75297599
nov.17,qpa,two,3.543956044,216.3147954,61.03766319
nov.17,qpa,two,8.18877551,442.7369878,54.06632375
may.18,qpa,nine,1.962823346,538.8883035,274.5475311
may.18,qpa,nine,2.456538171,696.766805,283.6376871
may.18,qpa,nine,4.189762325,1536.639156,366.7604597
jun.18,qpa,nine,126.7482993,458.0712154,3.614022577
jun.18,qpa,nine,284.3537415,689.4657567,2.424676226
jun.18,qpa,nine,16.27715602,261.1101673,16.04151038
jan.19,qpa,eighteen,3.928571429,761.3761026,193.8048261
jan.19,qpa,eighteen,2.968233165,777.7890496,262.0377195
jan.19,qpa,eighteen,3.563664596,568.0203565,159.3922046
feb.19,qpa,eighteen,215.3441716,806.0920249,3.743273008
feb.19,qpa,eighteen,55.3167626,776.6187465,14.03948297
feb.19,qpa,eighteen,3.028785588,569.0321872,187.8747011
jan.17,qpb,six,5.659657803,1147.548421,202.7593294
jan.17,qpb,six,35.65371763,1138.789517,31.94027419
jan.17,qpb,six,7.47071761,936.1996858,125.315898
feb.17,qpb,six,5.557823129,1022.059557,183.8956608
feb.17,qpb,six,43.90079365,1556.845102,35.46280085
feb.17,qpb,six,5.567602041,434.8093509,78.09634161
oct.17,qpb,two,3.686333508,244.7325436,66.38914875
oct.17,qpb,two,10.71819268,338.6390835,31.59479341
oct.17,qpb,two,5.739795918,161.5158069,28.1396428
nov.17,qpb,two,3.404713998,315.0490397,92.53318777
nov.17,qpb,two,8.407626208,302.3873183,35.96583754
nov.17,qpb,two,3.680718189,177.4730827,48.21697115
may.18,qpb,nine,3.643679694,267.1765395,73.32602257
may.18,qpb,nine,3.12248996,243.9779054,78.13568932
may.18,qpb,nine,3.878818608,226.2489035,58.32933331
jun.18,qpb,nine,2.459802103,268.3660943,109.100685
jun.18,qpb,nine,5.493197279,638.6939105,116.269975
jun.18,qpb,nine,27.82069971,542.9036407,19.51437765
jan.19,qpb,eighteen,8.681170581,302.9688233,34.89953578
jan.19,qpb,eighteen,3.94995622,428.7518336,108.5459711
jan.19,qpb,eighteen,6.307701652,504.8849272,80.04261378
feb.19,qpb,eighteen,4.507915316,449.3738311,99.68550862
feb.19,qpb,eighteen,136.5645291,383.727029,2.809858691
feb.19,qpb,eighteen,4.266229105,412.155753,96.6089122
