date,stream,period,value.afdm,value.chla,ratio
jan.17,qpa,six,10.9799862,468.2609004,42.64676584
jan.17,qpa,six,7.183248299,462.6585282,64.40798214
jan.17,qpa,six,6.214550755,433.6845317,69.78533909
jan.17,qpa,six,10.1089778,854.5987041,84.53858748
jan.17,qpa,six,8.205532213,1174.030572,143.077931
jan.17,qpa,six,9.851456207,1054.866155,107.0771805
feb.17,qpa,six,13.24829932,615.9419102,46.49214932
feb.17,qpa,six,3.32601395,380.4521026,114.386803
feb.17,qpa,six,26.87442545,1272.928694,47.36580123
feb.17,qpa,six,5.759303721,682.8764095,118.5692651
feb.17,qpa,six,5.725250627,879.7919157,153.6687165
feb.17,qpa,six,33.08035714,825.8148289,24.96390306
oct.17,qpa,two,3.767589227,265.4349851,70.45220939
oct.17,qpa,two,3.576388889,513.2802659,143.5191423
oct.17,qpa,two,1.399790686,314.4670985,224.6529439
oct.17,qpa,two,3.138909885,367.3923224,117.0445587
oct.17,qpa,two,34.06182726,587.6357865,17.25203355
oct.17,qpa,two,9.862055933,156.4227724,15.86107131
nov.17,qpa,two,3.213406052,278.7725381,86.75297599
nov.17,qpa,two,1.530612245,476.778093,311.4950208
nov.17,qpa,two,3.543956044,216.3147954,61.03766319
nov.17,qpa,two,4.926942608,607.0789606,123.2161624
nov.17,qpa,two,8.18877551,442.7369878,54.06632375
nov.17,qpa,two,2.746598639,879.5473425,320.2314783
may.18,qpa,nine,1.962823346,538.8883035,274.547531
may.18,qpa,nine,2.080536913,464.7062355,223.3588035
may.18,qpa,nine,2.456538171,696.766805,283.6376871
may.18,qpa,nine,4.992559524,649.0057675,129.9945978
may.18,qpa,nine,4.189762325,1536.639156,366.7604597
may.18,qpa,nine,3.50127551,467.4439625,133.5067638
jun.18,qpa,nine,126.7482993,458.0712154,3.614022578
jun.18,qpa,nine,89.83467806,659.3762763,7.339885783
jun.18,qpa,nine,26.65120594,702.6422817,26.36437103
jun.18,qpa,nine,284.3537415,689.4657567,2.424676226
jun.18,qpa,nine,16.27715602,261.1101673,16.04151038
jun.18,qpa,nine,30.21368547,326.2458014,10.79794789
jan.19,qpa,eighteen,3.928571429,761.3761026,193.8048261
jan.19,qpa,eighteen,3.109550751,738.6222617,237.533432
jan.19,qpa,eighteen,2.968233165,777.7890496,262.0377195
jan.19,qpa,eighteen,3.913215772,632.7168679,161.6871915
jan.19,qpa,eighteen,3.563664596,568.0203565,159.3922046
jan.19,qpa,eighteen,5.43956044,555.1828652,102.0639207
feb.19,qpa,eighteen,215.3441716,806.0920249,3.743273008
feb.19,qpa,eighteen,36.82205759,442.4080671,12.01475681
feb.19,qpa,eighteen,134.1794448,688.5507019,5.131566186
feb.19,qpa,eighteen,55.3167626,776.6187465,14.03948297
feb.19,qpa,eighteen,3.028785588,569.0321872,187.8747011
feb.19,qpa,eighteen,3.529677274,612.5573505,173.5448606
jan.17,qpb,six,5.659657803,1147.548421,202.7593294
jan.17,qpb,six,7.487562189,862.194552,115.1502359
jan.17,qpb,six,3.804271709,587.8321888,154.5189812
jan.17,qpb,six,35.65371763,1138.789517,31.94027419
jan.17,qpb,six,36.96761313,1020.817403,27.61383051
jan.17,qpb,six,7.47071761,936.1996858,125.315898
feb.17,qpb,six,5.557823129,1022.059557,183.8956608
feb.17,qpb,six,4.798553224,771.8824146,160.8573206
feb.17,qpb,six,4.155187075,874.4126403,210.4388141
feb.17,qpb,six,43.90079365,1556.845102,35.46280085
feb.17,qpb,six,5.567602041,434.8093509,78.09634161
feb.17,qpb,six,5.519579627,292.375263,52.97056709
oct.17,qpb,two,3.686333508,244.7325436,66.38914875
oct.17,qpb,two,7.468415938,503.6711109,67.44015265
oct.17,qpb,two,2.737200143,250.36404,91.4672026
oct.17,qpb,two,10.71819268,338.6390835,31.59479342
oct.17,qpb,two,5.739795918,161.5158069,28.13964281
oct.17,qpb,two,3.376623377,138.0412901,40.88145898
nov.17,qpb,two,3.404713998,315.0490397,92.53318778
nov.17,qpb,two,6.397671745,557.7849705,87.18561889
nov.17,qpb,two,4.063055992,228.4753546,56.23239135
nov.17,qpb,two,8.407626208,302.3873183,35.96583754
nov.17,qpb,two,2.351721939,243.4580033,103.5232947
nov.17,qpb,two,3.680718189,177.4730827,48.21697115
may.18,qpb,nine,3.643679694,267.1765395,73.32602257
may.18,qpb,nine,4.525599714,458.5467136,101.3228616
may.18,qpb,nine,5.480288501,572.6012066,104.4837706
may.18,qpb,nine,3.12248996,243.9779054,78.13568931
may.18,qpb,nine,3.527432712,314.1239729,89.05172644
may.18,qpb,nine,3.878818608,226.2489035,58.32933332
jun.18,qpb,nine,2.459802103,268.3660943,109.100685
jun.18,qpb,nine,3.494672205,189.6323506,54.26327263
jun.18,qpb,nine,3.912394226,436.4587248,111.5579616
jun.18,qpb,nine,5.493197279,638.6939105,116.269975
jun.18,qpb,nine,27.82069971,542.9036407,19.51437765
jun.18,qpb,nine,3.883928571,246.5008899,63.4668958
jan.19,qpb,eighteen,8.681170581,302.9688233,34.89953578
jan.19,qpb,eighteen,2.689851451,203.3013873,75.58089769
jan.19,qpb,eighteen,3.242570712,705.6169632,217.6103548
jan.19,qpb,eighteen,3.94995622,428.7518336,108.5459711
jan.19,qpb,eighteen,2.455195276,340.844156,138.8256809
jan.19,qpb,eighteen,6.307701652,504.8849272,80.04261378
feb.19,qpb,eighteen,4.507915316,449.3738311,99.68550861
feb.19,qpb,eighteen,173.9754976,676.0704887,3.8860098
feb.19,qpb,eighteen,63.99215844,491.9641711,7.687882126
feb.19,qpb,eighteen,136.5645291,383.727029,2.809858691
feb.19,qpb,eighteen,4.266229105,412.155753,96.6089122
feb.19,qpb,eighteen,17.14904143,240.2227732,14.00794174
