samplin,stream,isotope,source,value,sd
6mo,QPA,Carbon,Algae,-31.28781318,0.592621216
6mo,QPA,Nitrogen,Algae,11.2788082,6.162291964
6mo,QPA,Carbon,Peryphithon,-31.6925,0.212663271
6mo,QPA,Nitrogen,Peryphithon,6.06125,0.329203458
6mo,QPA,Carbon,LeafLitter,-32.075,0.170899581
6mo,QPA,Nitrogen,LeafLitter,0.559,0.318914827
2mo,QPA,Carbon,Algae,-22.50128486,4.268291934
2mo,QPA,Nitrogen,Algae,3.535925913,1.328616881
2mo,QPA,Carbon,Peryphithon,-26.31975,0.049304327
2mo,QPA,Nitrogen,Peryphithon,2.413,0.619124651
2mo,QPA,Carbon,LeafLitter,-31.5665,0.210704374
2mo,QPA,Nitrogen,LeafLitter,0.9295,0.211689238
6mo,QPB,Carbon,Algae,-41.0593669,6.781348945
6mo,QPB,Nitrogen,Algae,9.446942362,4.687948441
6mo,QPB,Carbon,Peryphithon,-34.37,0.157843805
6mo,QPB,Nitrogen,Peryphithon,4.9245,0.245691541
6mo,QPB,Carbon,LeafLitter,-30.3005,0.04505922
6mo,QPB,Nitrogen,LeafLitter,2.13925,0.601804162
2mo,QPB,Carbon,Algae,-14.50797599,9.916164525
2mo,QPB,Nitrogen,Algae,10.36059489,6.155100015
2mo,QPB,Carbon,Peryphithon,-27.45175,0.047041648
2mo,QPB,Nitrogen,Peryphithon,2.49425,0.225328464
2mo,QPB,Carbon,LeafLitter,-32.264,0.160243565
2mo,QPB,Nitrogen,LeafLitter,-0.464,0.156179384
