date,variable,stream,value,sd,se,
2017-01-01,Discharge,QPA,0.205270833,,,
2017-01-02,Discharge,QPA,0.207177083,,,
2017-01-03,Discharge,QPA,0.22225,,,
2017-01-04,Discharge,QPA,0.206604167,,,
2017-01-05,Discharge,QPA,0.197041667,,,
2017-01-06,Discharge,QPA,0.195125,,,
2017-01-07,Discharge,QPA,0.19478125,,,
2017-01-08,Discharge,QPA,0.192114583,,,
2017-01-09,Discharge,QPA,0.1916875,,,
2017-01-10,Discharge,QPA,0.193489583,,,
2017-01-11,Discharge,QPA,0.228239583,,,
2017-01-12,Discharge,QPA,0.19809375,,,
2017-01-13,Discharge,QPA,0.1930625,,,
2017-01-14,Discharge,QPA,0.1890625,,,
2017-01-15,Discharge,QPA,0.188802083,,,
2017-01-16,Discharge,QPA,0.199541667,,,
2017-01-17,Discharge,QPA,0.251229167,,,
2017-01-18,Discharge,QPA,0.25825,,,
2017-01-19,Discharge,QPA,0.201604167,,,
2017-01-20,Discharge,QPA,0.194197917,,,
2017-01-21,Discharge,QPA,0.1918125,,,
2017-01-22,Discharge,QPA,0.189302083,,,
2017-01-23,Discharge,QPA,0.18740625,,,
2017-01-24,Discharge,QPA,0.185447917,,,
2017-01-25,Discharge,QPA,0.183416667,,,
2017-01-26,Discharge,QPA,0.181427083,,,
2017-01-27,Discharge,QPA,0.179083333,,,
2017-01-28,Discharge,QPA,0.17809375,,,
2017-01-29,Discharge,QPA,0.17796875,,,
2017-01-30,Discharge,QPA,0.177625,,,
2017-01-31,Discharge,QPA,0.17575,,,
2017-02-01,Discharge,QPA,0.178489583,,,
2017-02-02,Discharge,QPA,0.184135417,,,
2017-02-03,Discharge,QPA,0.18446875,,,
2017-02-04,Discharge,QPA,0.187208333,,,
2017-02-05,Discharge,QPA,0.19371875,,,
2017-02-06,Discharge,QPA,0.201864583,,,
2017-02-07,Discharge,QPA,0.206416667,,,
2017-02-08,Discharge,QPA,0.17871875,,,
2017-02-09,Discharge,QPA,0.172677083,,,
2017-02-10,Discharge,QPA,0.170340909,,,
2017-02-11,Discharge,QPA,NA,,,
2017-02-12,Discharge,QPA,NA,,,
2017-02-13,Discharge,QPA,NA,,,
2017-02-14,Discharge,QPA,NA,,,
2017-02-15,Discharge,QPA,NA,,,
2017-02-16,Discharge,QPA,NA,,,
2017-02-17,Discharge,QPA,NA,,,
2017-02-18,Discharge,QPA,NA,,,
2017-02-19,Discharge,QPA,NA,,,
2017-02-20,Discharge,QPA,NA,,,
2017-02-21,Discharge,QPA,NA,,,
2017-02-22,Discharge,QPA,NA,,,
2017-02-23,Discharge,QPA,NA,,,
2017-02-24,Discharge,QPA,NA,,,
2017-02-25,Discharge,QPA,NA,,,
2017-02-26,Discharge,QPA,NA,,,
2017-02-27,Discharge,QPA,NA,,,
2017-02-28,Discharge,QPA,NA,,,
2017-03-01,Discharge,QPA,NA,,,
2017-03-02,Discharge,QPA,NA,,,
2017-03-03,Discharge,QPA,NA,,,
2017-03-04,Discharge,QPA,NA,,,
